,LSOA code (2011),Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,lsoa_x,hierarchical8x,lsoa_y,hierarchical13x,lsoa,hierarchical24x
1127,E01001148,39.932,0.191,0.202,28.647,11.819,0.084,0.156,23.162,0.717,E01001148,5.0,E01001148,6.0,E01001148,7.0
1128,E01001149,24.018,0.121,-0.345,29.932,11.183,0.07,0.101,16.06,0.78,E01001149,3.0,E01001149,3.0,E01001149,4.0
1129,E01001150,29.108,0.746,-0.527,34.476,8.183,0.077,0.131,20.545,0.896,E01001150,3.0,E01001150,3.0,E01001150,11.0
1130,E01001151,37.044,0.938,0.639,39.14,31.363,0.178,0.22,40.839,1.118,E01001151,3.0,E01001151,3.0,E01001151,11.0
1131,E01001152,47.465,0.949,0.455,37.311,18.303,0.14,0.225,37.166,1.368,,,,,,
1132,E01001153,32.189,0.551,-0.391,31.095,18.453,0.093,0.139,22.665,0.986,E01001153,3.0,E01001153,3.0,E01001153,4.0
1133,E01001154,46.246,0.869,-0.431,36.731,22.01,0.099,0.161,28.926,1.48,E01001154,3.0,E01001154,3.0,E01001154,4.0
1134,E01001155,30.417,0.847,0.927,46.115,23.794,0.167,0.281,43.809,1.438,,,,,,
1135,E01001156,21.362,-0.034,0.558,39.414,16.509,0.098,0.174,26.234,0.99,E01001156,3.0,E01001156,4.0,E01001156,5.0
1136,E01001157,25.631,0.78,-0.471,27.594,10.15,0.072,0.115,18.181,0.761,E01001157,3.0,E01001157,9.0,E01001157,12.0
1137,E01001158,31.246,0.014,-0.181,33.638,15.799,0.081,0.127,20.443,0.981,E01001158,3.0,E01001158,9.0,E01001158,12.0
1138,E01001159,21.627,0.186,-0.687,35.731,6.753,0.053,0.093,14.456,0.836,E01001159,3.0,E01001159,3.0,E01001159,11.0
1139,E01001160,19.009,0.075,-0.545,23.336,11.653,0.064,0.107,13.743,0.745,E01001160,3.0,E01001160,9.0,E01001160,12.0
1140,E01001161,18.853,0.506,0.662,41.19,34.035,0.19,0.293,42.566,0.917,E01001161,3.0,E01001161,9.0,E01001161,12.0
1141,E01001162,28.83,0.629,0.048,37.681,16.265,0.127,0.171,28.352,0.978,E01001162,3.0,,,,
1142,E01001163,38.527,0.43,-0.625,25.545,7.185,0.068,0.09,16.31,1.064,E01001163,3.0,E01001163,3.0,,
1143,E01001164,30.175,0.415,-0.419,33.903,8.536,0.087,0.133,20.492,1.017,E01001164,6.0,E01001164,10.0,E01001164,17.0
1144,E01001165,36.338,0.783,-0.17,33.91,14.689,0.095,0.125,24.16,1.074,,,,,,
1145,E01001166,31.227,0.209,0.777,43.367,19.834,0.108,0.201,32.149,0.958,,,,,,
1146,E01001167,32.091,0.43,-0.061,35.614,11.225,0.08,0.131,21.834,1.417,E01001167,3.0,,,,
1147,E01001168,42.319,0.546,0.087,33.707,13.242,0.061,0.099,21.176,1.207,E01001168,6.0,E01001168,10.0,E01001168,15.0
1148,E01001169,24.03,0.056,0.594,37.639,29.027,0.14,0.214,32.702,0.7,E01001169,3.0,E01001169,3.0,E01001169,11.0
1149,E01001170,41.051,0.574,0.436,32.654,8.827,0.113,0.147,27.089,1.165,E01001170,4.0,E01001170,5.0,,
1150,E01001171,20.23,-0.245,-0.069,41.922,18.315,0.114,0.152,24.566,0.734,E01001171,3.0,E01001171,3.0,E01001171,11.0
1151,E01001172,20.461,0.517,0.614,42.705,40.156,0.183,0.289,43.062,0.678,,,,,,
1152,E01001173,17.055,0.005,-0.012,37.138,10.557,0.085,0.13,19.768,0.775,E01001173,3.0,E01001173,4.0,E01001173,5.0
1153,E01001174,24.596,0.819,-0.493,30.008,18.196,0.087,0.153,22.452,0.908,E01001174,3.0,E01001174,3.0,E01001174,4.0
1154,E01001175,36.144,0.898,0.334,35.174,11.75,0.134,0.171,30.599,1.457,,,,,,
1155,E01001176,32.146,0.86,-0.476,37.202,12.329,0.079,0.129,22.748,1.261,E01001176,3.0,E01001176,3.0,E01001176,4.0
1156,E01001177,31.371,0.555,0.341,39.33,16.347,0.141,0.192,31.6,0.864,E01001177,3.0,E01001177,9.0,E01001177,12.0
1157,E01001178,32.465,0.503,1.296,47.333,32.458,0.219,0.419,58.173,1.262,,,,,,
1158,E01001179,43.81,0.517,-0.515,28.984,13.224,0.067,0.129,20.706,1.217,E01001179,3.0,,,,
1159,E01001180,50.916,0.788,-0.251,34.982,14.589,0.088,0.169,27.841,1.063,E01001180,3.0,E01001180,3.0,E01001180,4.0
1160,E01001181,46.81,1.0,0.595,46.141,20.034,0.155,0.25,42.449,1.434,E01001181,3.0,E01001181,3.0,E01001181,4.0
1161,E01001182,33.851,0.705,-0.244,31.055,14.168,0.078,0.128,21.65,1.368,E01001182,3.0,E01001182,3.0,E01001182,4.0
1162,E01001183,28.592,0.599,-0.389,36.72,16.692,0.099,0.148,24.133,1.383,,,,,,
1163,E01001184,27.475,0.531,-0.327,27.477,10.378,0.067,0.103,16.909,0.913,E01001184,3.0,E01001184,9.0,E01001184,12.0
1164,E01001185,26.714,0.156,-0.141,32.225,17.057,0.08,0.124,19.985,0.858,,,,,,
1165,E01001186,26.57,0.213,0.32,37.395,17.502,0.136,0.186,29.074,0.76,E01001186,3.0,E01001186,3.0,E01001186,4.0
1166,E01001187,35.963,-0.008,-0.362,32.194,14.263,0.09,0.124,20.607,0.628,E01001187,3.0,E01001187,9.0,E01001187,12.0
1167,E01001188,31.23,0.853,-0.008,33.772,17.762,0.114,0.178,28.153,0.892,,,,,,
1168,E01001189,22.189,0.357,-0.397,25.922,12.54,0.098,0.101,17.717,0.868,E01001189,5.0,E01001189,6.0,E01001189,7.0
1169,E01001190,37.229,0.239,0.236,35.996,13.533,0.113,0.175,27.441,0.655,E01001190,3.0,E01001190,3.0,E01001190,4.0
1170,E01001191,48.831,0.792,0.247,38.807,14.11,0.132,0.219,34.93,1.097,E01001191,5.0,E01001191,6.0,E01001191,7.0
1171,E01001192,26.158,0.778,0.168,36.49,17.187,0.114,0.167,27.765,0.825,E01001192,5.0,E01001192,6.0,E01001192,7.0
1172,E01001193,14.404,0.068,0.295,43.109,26.507,0.169,0.232,34.356,0.796,E01001193,3.0,E01001193,3.0,E01001193,11.0
1173,E01001194,27.808,0.763,-0.374,23.569,16.904,0.068,0.111,18.25,0.818,E01001194,5.0,E01001194,8.0,E01001194,9.0
1174,E01001195,23.333,0.284,-0.865,36.978,10.441,0.033,0.085,13.986,0.974,E01001195,3.0,E01001195,9.0,E01001195,12.0
1175,E01001196,40.473,0.373,0.65,38.541,15.316,0.175,0.245,38.041,1.593,E01001196,3.0,E01001196,3.0,E01001196,11.0
1176,E01001197,30.943,0.36,-0.014,33.653,7.279,0.11,0.131,22.602,1.28,E01001197,3.0,E01001197,3.0,E01001197,11.0
1177,E01001198,32.964,0.322,-0.421,29.625,2.203,0.068,0.072,14.822,1.353,E01001198,5.0,E01001198,6.0,E01001198,7.0
1178,E01001199,22.304,-0.122,-0.048,31.141,11.745,0.105,0.178,22.254,1.201,E01001199,5.0,E01001199,6.0,E01001199,7.0
1179,E01001200,29.299,0.332,-0.128,29.254,3.514,0.072,0.085,15.981,1.213,,,,,,
1180,E01001201,34.545,0.237,-0.557,29.408,7.488,0.077,0.112,17.646,1.126,E01001201,3.0,E01001201,3.0,E01001201,4.0
1181,E01001202,38.75,1.16,0.087,38.443,11.356,0.138,0.207,33.786,1.777,E01001202,6.0,E01001202,10.0,E01001202,17.0
1182,E01001203,39.622,0.23,0.394,37.315,10.312,0.15,0.222,32.757,1.578,E01001203,5.0,E01001203,6.0,E01001203,7.0
1183,E01001204,23.044,-0.435,-0.596,28.414,2.248,0.069,0.114,13.681,1.163,E01001204,3.0,E01001204,9.0,E01001204,12.0
1184,E01001205,25.289,0.487,-0.28,53.57,10.646,0.136,0.186,31.013,1.098,E01001205,3.0,E01001205,3.0,E01001205,11.0
1185,E01001206,18.46,-0.287,0.033,55.874,27.99,0.19,0.314,42.319,0.846,,,,,,
1186,E01001207,37.498,0.25,-0.378,28.08,3.76,0.066,0.095,16.207,1.382,,,,,,
1187,E01001208,36.809,0.463,-0.88,19.995,1.458,0.052,0.065,11.841,1.401,E01001208,3.0,E01001208,9.0,E01001208,12.0
1188,E01001209,30.227,-0.166,-1.114,18.771,0.767,0.037,0.045,7.107,1.167,E01001209,3.0,E01001209,9.0,E01001209,12.0
1189,E01001210,25.254,-0.066,0.61,58.909,23.227,0.24,0.348,50.708,1.467,E01001210,3.0,E01001210,4.0,E01001210,5.0
1190,E01001211,17.234,0.097,-0.826,25.563,0.744,0.055,0.08,10.395,1.03,E01001211,3.0,E01001211,3.0,E01001211,11.0
1191,E01001212,25.772,-0.533,-0.388,27.335,1.671,0.085,0.079,13.453,1.126,,,,,,
1192,E01001213,31.374,0.519,-0.054,38.603,24.964,0.108,0.169,28.161,1.496,E01001213,3.0,,,,
1193,E01001214,23.91,-0.249,-0.537,30.37,17.225,0.079,0.086,15.937,1.216,E01001214,3.0,E01001214,3.0,E01001214,11.0
1194,E01001215,37.781,0.998,0.285,38.437,17.875,0.094,0.173,30.196,1.765,E01001215,3.0,E01001215,3.0,,
1195,E01001216,36.939,0.388,-0.258,39.759,15.428,0.071,0.117,22.184,1.549,E01001216,3.0,E01001216,9.0,E01001216,12.0
1196,E01001217,23.666,0.231,-0.509,28.68,13.12,0.063,0.113,16.083,0.871,E01001217,3.0,E01001217,9.0,E01001217,12.0
1197,E01001218,20.314,0.253,0.527,51.89,22.895,0.135,0.24,36.313,1.09,E01001218,3.0,,,,
1198,E01001219,20.309,-0.222,0.16,51.234,25.18,0.159,0.243,36.023,0.936,,,,,,
1199,E01001220,28.726,0.912,0.11,51.978,31.433,0.192,0.325,47.749,1.738,E01001220,3.0,E01001220,4.0,E01001220,5.0
1200,E01001221,34.788,1.067,-0.269,36.375,14.256,0.069,0.135,24.068,1.563,E01001221,2.0,E01001221,2.0,E01001221,3.0
1201,E01001222,46.085,0.19,-0.313,36.123,6.483,0.081,0.125,21.852,1.693,E01001222,6.0,E01001222,10.0,E01001222,17.0
1202,E01001223,25.581,-0.453,-0.564,33.57,0.566,0.058,0.062,11.671,1.009,E01001223,3.0,,,,
1203,E01001224,36.929,-0.453,-0.858,24.473,0.327,0.044,0.045,9.146,1.131,E01001224,3.0,,,,
1204,E01001225,39.465,1.241,-0.499,31.876,2.265,0.075,0.109,21.713,1.554,E01001225,3.0,E01001225,3.0,,
1205,E01001226,23.364,-0.61,-0.225,36.113,1.939,0.058,0.078,13.363,1.156,E01001226,4.0,E01001226,5.0,E01001226,13.0
1206,E01001227,33.142,-0.428,-0.926,27.991,0.669,0.053,0.054,10.29,1.097,E01001227,3.0,E01001227,3.0,E01001227,11.0
1207,E01001228,18.531,-0.632,-0.293,35.171,2.026,0.043,0.076,11.398,1.127,E01001228,3.0,,,,
1208,E01001229,26.773,0.483,0.186,37.531,19.319,0.136,0.198,30.226,1.121,E01001229,3.0,E01001229,9.0,E01001229,12.0
1209,E01001230,39.828,-0.033,-0.515,31.454,6.24,0.123,0.112,21.257,1.049,E01001230,3.0,E01001230,3.0,E01001230,4.0
1210,E01001231,38.445,0.424,-1.213,38.322,2.267,0.031,0.058,13.847,1.59,E01001231,3.0,E01001231,3.0,E01001231,11.0
1211,E01001232,21.127,0.363,-0.178,45.993,10.07,0.105,0.125,23.753,1.357,E01001232,3.0,E01001232,9.0,E01001232,12.0
1212,E01001233,26.932,0.935,-0.12,29.49,3.41,0.11,0.164,23.841,1.442,E01001233,3.0,E01001233,3.0,E01001233,11.0
1213,E01001234,52.014,1.029,-0.411,36.866,5.093,0.059,0.103,22.923,1.86,E01001234,3.0,E01001234,4.0,E01001234,5.0
1214,E01001235,28.805,0.638,-0.501,26.613,7.143,0.051,0.078,14.225,1.805,E01001235,3.0,E01001235,4.0,E01001235,5.0
1215,E01001236,31.408,-0.087,-0.409,32.614,7.674,0.054,0.121,16.278,1.395,E01001236,3.0,E01001236,3.0,,
1216,E01001237,36.875,0.893,-0.163,36.914,1.512,0.041,0.062,17.023,1.337,E01001237,3.0,E01001237,4.0,E01001237,5.0
1217,E01001238,40.163,-0.211,-0.562,55.543,15.067,0.067,0.125,24.534,1.617,E01001238,4.0,E01001238,5.0,E01001238,14.0
1218,E01001239,23.239,-0.021,0.145,58.732,16.446,0.134,0.206,32.662,1.318,E01001239,3.0,E01001239,4.0,E01001239,5.0
1219,E01001240,31.348,0.177,-0.482,38.914,14.097,0.067,0.133,20.451,1.464,E01001240,3.0,E01001240,3.0,E01001240,11.0
1220,E01001241,30.872,1.275,-0.513,35.983,7.447,0.068,0.123,22.203,1.933,E01001241,3.0,,,,
1221,E01001242,31.886,0.548,0.052,38.889,13.821,0.118,0.15,26.914,1.347,E01001242,3.0,E01001242,3.0,E01001242,11.0
1222,E01001243,39.369,0.584,-0.724,39.908,10.713,0.097,0.16,25.381,1.845,E01001243,3.0,E01001243,3.0,E01001243,11.0
1223,E01001244,43.737,-0.012,0.003,45.313,10.089,0.103,0.188,28.857,1.964,E01001244,4.0,E01001244,5.0,E01001244,14.0
1224,E01001245,34.669,0.209,-0.547,29.718,5.3,0.057,0.099,15.441,1.663,,,,,,
1225,E01001246,45.732,0.404,-0.339,45.591,18.964,0.117,0.2,32.021,1.226,E01001246,3.0,E01001246,3.0,E01001246,11.0
1226,E01001247,28.719,0.348,-0.265,45.088,12.246,0.063,0.119,21.278,1.382,E01001247,4.0,E01001247,5.0,E01001247,13.0
1227,E01001248,24.092,0.07,-0.452,28.422,9.809,0.085,0.125,17.386,1.03,E01001248,3.0,,,,
1228,E01001249,38.77,1.05,0.573,40.063,14.648,0.176,0.27,41.534,1.789,E01001249,6.0,E01001249,10.0,E01001249,17.0
1229,E01001250,32.788,0.625,0.526,36.613,16.974,0.188,0.229,37.117,1.671,,,,,,
1230,E01001251,39.924,0.16,-0.225,27.963,3.635,0.082,0.117,18.709,1.344,,,,,,
1231,E01001252,38.212,0.113,0.11,35.712,9.41,0.111,0.165,25.654,1.404,,,,,,
1232,E01001253,24.226,-0.514,-0.488,30.578,5.68,0.075,0.125,15.645,0.851,E01001253,5.0,E01001253,6.0,E01001253,7.0
1233,E01001254,29.602,-0.279,-0.464,30.525,3.72,0.064,0.102,14.588,1.107,E01001254,5.0,E01001254,6.0,E01001254,7.0
1234,E01001255,33.847,0.284,-0.632,23.694,3.266,0.073,0.065,13.456,1.398,,,,,,
1235,E01001257,21.379,0.46,0.229,49.728,30.508,0.177,0.274,40.826,0.935,E01001257,4.0,E01001257,5.0,E01001257,13.0
1236,E01001258,29.257,-0.221,-0.542,29.103,11.29,0.075,0.099,15.858,1.025,E01001258,3.0,E01001258,9.0,E01001258,12.0
1237,E01001259,29.81,0.716,-0.327,30.366,16.107,0.066,0.126,20.119,1.478,E01001259,3.0,E01001259,3.0,E01001259,11.0
1238,E01001260,36.628,1.097,-0.192,30.243,8.329,0.065,0.103,20.741,1.795,E01001260,3.0,E01001260,9.0,E01001260,12.0
1239,E01001261,39.008,0.42,-0.676,38.36,14.781,0.083,0.126,22.674,1.725,E01001261,3.0,E01001261,3.0,E01001261,11.0
1240,E01001262,28.503,0.58,-0.039,41.16,20.258,0.129,0.214,31.334,1.739,E01001262,3.0,,,,
1241,E01001263,26.171,0.392,0.13,44.471,18.18,0.156,0.24,34.487,1.321,,,,,,
1242,E01001264,27.105,0.188,-0.787,39.156,23.537,0.115,0.14,24.398,1.114,E01001264,3.0,E01001264,3.0,E01001264,11.0
1243,E01001265,21.927,-0.602,-0.438,56.208,10.867,0.076,0.095,20.568,0.898,E01001265,3.0,E01001265,3.0,E01001265,11.0
1244,E01001266,28.3,0.084,-0.675,37.866,10.11,0.056,0.091,16.109,1.165,E01001266,3.0,E01001266,3.0,E01001266,11.0
1245,E01001267,32.736,0.342,-0.019,45.353,15.779,0.126,0.222,31.849,1.816,,,,,,
1246,E01001268,30.712,-0.032,0.051,30.915,8.555,0.082,0.107,18.541,1.429,E01001268,3.0,E01001268,3.0,E01001268,11.0
1247,E01001269,35.486,0.096,-1.355,31.507,11.358,0.049,0.066,13.557,1.013,E01001269,3.0,,,,
1248,E01001270,23.806,0.431,-0.691,32.266,8.434,0.061,0.098,15.651,1.084,E01001270,3.0,E01001270,9.0,E01001270,12.0
1249,E01001271,26.154,-0.029,-0.864,29.917,18.002,0.07,0.117,16.877,1.234,E01001271,3.0,E01001271,3.0,E01001271,11.0
1250,E01001272,35.502,0.134,-0.418,40.673,7.384,0.068,0.099,19.058,1.634,E01001272,3.0,E01001272,3.0,E01001272,11.0
1251,E01001273,30.917,0.07,-1.152,29.45,2.153,0.033,0.045,9.462,1.389,E01001273,3.0,,,,
1252,E01001274,18.633,-0.668,-1.333,32.697,6.53,0.038,0.048,8.494,1.044,E01001274,3.0,E01001274,3.0,E01001274,11.0
1253,E01001275,31.212,0.549,-0.348,36.436,6.142,0.08,0.091,19.035,1.398,E01001275,3.0,,,,
1254,E01001276,31.642,-0.149,-0.814,44.773,12.366,0.071,0.128,20.56,1.336,E01001276,3.0,E01001276,3.0,E01001276,11.0
1255,E01001277,39.184,-0.082,-0.84,38.916,8.0,0.052,0.108,17.535,2.032,,,,,,
1256,E01001278,52.502,0.497,-0.724,40.337,12.057,0.061,0.135,23.769,2.189,E01001278,3.0,E01001278,4.0,E01001278,5.0
1257,E01001279,35.101,-0.431,-0.877,21.905,0.358,0.031,0.028,7.15,1.284,E01001279,3.0,E01001279,9.0,E01001279,12.0
1258,E01001280,30.658,-0.336,-0.886,38.65,6.333,0.043,0.079,13.686,1.839,E01001280,3.0,E01001280,4.0,E01001280,5.0
1259,E01001281,34.729,-0.548,-0.929,21.497,0.234,0.035,0.041,7.459,1.559,E01001281,3.0,E01001281,9.0,E01001281,12.0
1260,E01001282,26.699,0.069,0.234,43.932,18.61,0.173,0.237,35.01,1.015,E01001282,3.0,E01001282,3.0,E01001282,11.0
1261,E01001283,32.592,0.682,0.43,37.718,17.047,0.196,0.274,40.085,1.267,E01001283,3.0,E01001283,4.0,E01001283,5.0
1262,E01001284,33.419,0.801,-0.513,23.35,9.884,0.06,0.076,15.752,1.296,E01001284,3.0,E01001284,9.0,E01001284,12.0
1263,E01001285,30.631,0.146,-0.299,30.882,14.88,0.116,0.154,23.184,1.002,E01001285,3.0,,,,
1264,E01001286,27.988,-0.023,-0.06,37.204,14.007,0.107,0.149,23.532,1.091,E01001286,3.0,E01001286,3.0,E01001286,11.0
1265,E01001287,19.434,-0.25,-0.334,40.976,14.981,0.156,0.266,31.223,0.977,E01001287,3.0,E01001287,9.0,E01001287,12.0
1266,E01001288,37.044,-0.173,-0.341,26.283,3.032,0.079,0.1,16.018,1.049,,,,,,
1267,E01001289,38.847,-0.404,-0.477,29.056,2.553,0.073,0.095,15.526,1.354,E01001289,3.0,E01001289,3.0,E01001289,4.0
1268,E01001290,31.355,-0.269,-0.554,29.074,2.638,0.059,0.076,12.68,1.171,E01001290,3.0,E01001290,3.0,E01001290,11.0
1269,E01001291,23.485,0.197,-0.679,32.568,11.864,0.098,0.129,19.365,1.064,E01001291,3.0,E01001291,9.0,E01001291,12.0
1270,E01001292,28.178,-0.033,-0.694,27.63,9.379,0.064,0.086,13.864,1.048,E01001292,3.0,E01001292,9.0,E01001292,12.0
1271,E01001293,21.563,-0.366,-0.227,33.573,11.515,0.081,0.113,17.362,0.853,E01001293,3.0,E01001293,9.0,E01001293,12.0
1272,E01001294,24.131,0.563,-0.198,31.262,17.799,0.088,0.156,22.485,1.098,E01001294,3.0,,,,
1273,E01001295,28.311,-0.282,-0.416,30.559,11.963,0.074,0.124,17.222,1.005,E01001295,3.0,E01001295,9.0,E01001295,12.0
1274,E01001296,24.341,-0.083,0.029,30.735,16.299,0.111,0.14,22.011,1.002,E01001296,3.0,E01001296,9.0,E01001296,12.0
1275,E01001297,22.219,0.256,0.147,33.311,15.442,0.11,0.144,23.36,1.025,E01001297,3.0,E01001297,9.0,E01001297,12.0
1276,E01001298,26.98,0.264,0.808,35.826,16.977,0.108,0.163,27.974,1.056,E01001298,3.0,E01001298,9.0,E01001298,12.0
1277,E01001299,28.03,-0.518,-1.157,22.212,1.762,0.049,0.052,8.007,1.068,E01001299,3.0,E01001299,9.0,E01001299,12.0
1278,E01001300,34.665,0.198,-0.908,20.099,1.779,0.037,0.044,8.87,1.498,E01001300,3.0,E01001300,3.0,E01001300,4.0
1279,E01001301,31.044,0.784,0.17,28.743,4.637,0.072,0.118,20.032,1.704,,,,,,
1280,E01001302,33.08,0.608,-0.946,23.763,1.32,0.047,0.059,11.697,1.268,E01001302,3.0,,,,
1281,E01001303,44.256,-0.036,-1.107,21.53,0.703,0.034,0.051,9.914,1.183,E01001303,3.0,E01001303,3.0,E01001303,4.0
1282,E01001304,32.505,-0.186,-0.365,24.932,1.745,0.069,0.097,14.074,1.349,E01001304,5.0,E01001304,6.0,E01001304,7.0
1283,E01001305,26.956,-0.384,-0.78,20.523,0.616,0.049,0.046,7.673,1.154,E01001305,3.0,E01001305,3.0,E01001305,4.0
1284,E01001306,33.74,-0.503,-0.781,21.892,1.094,0.033,0.056,8.308,0.987,E01001306,3.0,,,,
1285,E01001307,28.347,-0.061,-1.218,28.513,9.698,0.041,0.067,11.103,0.912,E01001307,3.0,E01001307,9.0,E01001307,12.0
1286,E01001308,23.575,0.0,-1.159,34.059,8.282,0.034,0.069,11.391,0.812,E01001308,3.0,E01001308,3.0,E01001308,11.0
1287,E01001309,28.41,0.409,-0.799,32.069,11.311,0.045,0.095,15.083,0.965,E01001309,3.0,,,,
1288,E01001310,26.913,-0.021,-0.598,36.342,14.944,0.07,0.125,18.59,1.049,E01001310,3.0,E01001310,3.0,E01001310,11.0
1289,E01001311,15.225,-0.187,-0.169,46.917,21.661,0.129,0.204,28.942,0.67,E01001311,3.0,E01001311,3.0,E01001311,11.0
1290,E01001312,34.068,-0.084,-0.799,32.467,11.654,0.065,0.105,16.657,1.212,E01001312,3.0,E01001312,3.0,E01001312,11.0
1291,E01001313,26.825,-0.107,-0.962,33.317,8.993,0.053,0.089,13.693,1.076,E01001313,3.0,E01001313,9.0,E01001313,12.0
1292,E01001314,26.547,-0.282,-1.005,31.819,7.103,0.043,0.063,10.954,1.012,E01001314,3.0,,,,
1293,E01001315,20.767,0.068,-0.712,37.099,14.858,0.073,0.123,18.255,1.039,E01001315,4.0,E01001315,5.0,E01001315,13.0
1294,E01001316,24.336,0.268,0.03,45.312,20.732,0.133,0.221,31.82,1.176,E01001316,4.0,E01001316,5.0,E01001316,14.0
1295,E01001317,25.08,0.196,-0.191,43.254,21.912,0.105,0.165,26.465,0.815,E01001317,4.0,E01001317,5.0,E01001317,13.0
1296,E01001318,22.476,0.813,0.257,44.686,23.479,0.14,0.247,36.013,1.056,,,,,,
1297,E01001319,23.938,-0.401,-0.73,39.693,19.152,0.067,0.11,18.036,0.951,E01001319,3.0,E01001319,9.0,E01001319,12.0
1298,E01001320,17.821,0.531,0.055,48.429,32.285,0.198,0.276,41.628,0.841,E01001320,7.0,E01001320,11.0,,
1299,E01001321,26.544,0.49,-0.258,38.009,19.673,0.119,0.154,26.07,1.203,E01001321,3.0,E01001321,4.0,E01001321,5.0
1300,E01001322,28.828,0.892,-0.584,36.608,10.133,0.097,0.149,23.866,1.292,E01001322,3.0,E01001322,3.0,E01001322,11.0
1301,E01001323,38.444,1.069,-0.518,33.53,10.85,0.082,0.115,23.054,1.718,E01001323,4.0,E01001323,5.0,E01001323,14.0
1302,E01001324,28.757,0.945,0.111,62.44,15.467,0.112,0.183,33.507,1.446,E01001324,3.0,E01001324,4.0,E01001324,5.0
1303,E01001325,21.094,0.483,-0.084,35.495,22.688,0.112,0.185,26.632,0.516,E01001325,3.0,E01001325,3.0,E01001325,11.0
1304,E01001326,28.575,0.76,-0.188,55.973,18.871,0.116,0.194,33.051,1.379,E01001326,3.0,E01001326,4.0,E01001326,5.0
1305,E01001327,26.181,0.779,-0.102,40.946,20.931,0.131,0.193,30.832,1.119,,,,,,
1306,E01001328,27.427,1.006,0.051,46.681,25.279,0.118,0.194,33.629,1.513,E01001328,4.0,E01001328,5.0,,
1307,E01001329,22.497,0.54,-0.131,35.962,17.717,0.086,0.175,24.129,0.976,E01001329,3.0,E01001329,3.0,E01001329,11.0
1308,E01001330,28.276,0.714,0.08,57.926,24.712,0.184,0.274,42.882,1.112,,,,,,
1309,E01001331,24.514,0.656,0.366,43.908,27.114,0.153,0.247,37.261,1.18,E01001331,4.0,E01001331,5.0,,
1310,E01001332,23.328,0.367,0.471,51.268,22.069,0.167,0.267,39.944,1.05,E01001332,4.0,E01001332,5.0,E01001332,14.0
1311,E01001333,42.624,1.054,0.416,43.44,27.147,0.13,0.241,39.653,1.832,E01001333,3.0,E01001333,4.0,E01001333,5.0
1312,E01001334,24.286,0.142,0.275,46.939,30.338,0.186,0.291,41.199,1.339,E01001334,3.0,,,,
1313,E01001335,37.209,0.488,-0.262,32.081,8.406,0.08,0.126,20.851,1.641,E01001335,3.0,,,,
1314,E01001336,30.278,0.124,-0.165,38.493,12.757,0.109,0.168,24.895,1.581,E01001336,4.0,E01001336,5.0,E01001336,13.0
1315,E01001337,26.615,1.298,0.363,48.911,14.713,0.145,0.174,35.728,1.298,E01001337,4.0,E01001337,5.0,E01001337,14.0
1316,E01001338,28.287,-0.019,0.144,47.053,13.632,0.123,0.139,27.178,1.368,E01001338,3.0,E01001338,3.0,E01001338,11.0
1317,E01001339,21.201,0.074,-0.018,52.214,20.452,0.164,0.238,35.644,1.066,,,,,,
1318,E01001340,17.38,0.646,0.272,45.268,23.628,0.207,0.212,38.035,0.908,,,,,,
1319,E01001341,30.068,-0.484,-0.978,30.821,13.276,0.044,0.084,12.828,0.901,E01001341,3.0,E01001341,9.0,E01001341,12.0
1320,E01001342,37.215,-0.536,-0.754,34.858,10.377,0.046,0.088,14.813,0.972,E01001342,3.0,E01001342,9.0,E01001342,12.0
1321,E01001343,24.681,-0.364,-0.955,30.926,13.832,0.075,0.1,15.378,0.887,E01001343,3.0,E01001343,9.0,E01001343,12.0
1322,E01001344,18.319,-0.539,-0.759,42.382,8.17,0.08,0.137,18.422,0.837,E01001344,3.0,E01001344,3.0,E01001344,11.0
1323,E01001345,23.053,-0.494,-0.539,34.111,15.741,0.078,0.12,17.505,0.889,E01001345,3.0,E01001345,9.0,E01001345,12.0
1324,E01001346,32.148,-0.446,-1.175,26.036,6.268,0.051,0.094,12.0,1.209,E01001346,3.0,E01001346,9.0,E01001346,12.0
1325,E01001347,33.278,-0.019,-0.792,44.378,13.833,0.052,0.102,18.682,1.491,E01001347,3.0,E01001347,9.0,E01001347,12.0
1326,E01001348,39.249,0.271,-0.657,31.265,8.322,0.066,0.143,19.431,1.559,,,,,,
1327,E01001349,27.964,1.167,0.301,46.091,17.264,0.127,0.176,33.598,1.724,,,,,,
1328,E01001350,31.435,0.104,-0.337,33.95,1.95,0.075,0.084,16.166,1.17,E01001350,3.0,E01001350,9.0,E01001350,12.0
1329,E01001351,37.51,1.295,0.131,34.369,4.474,0.101,0.162,28.006,1.694,E01001351,6.0,E01001351,10.0,,
1330,E01001352,42.501,0.254,-0.934,27.464,2.971,0.052,0.102,15.249,1.523,,,,,,
1331,E01001353,34.772,0.372,-0.059,37.894,12.049,0.085,0.139,23.368,1.277,,,,,,
1332,E01001354,38.929,0.721,0.559,27.019,6.533,0.068,0.122,22.226,1.541,E01001354,6.0,E01001354,10.0,E01001354,15.0
1333,E01001355,37.503,0.304,0.236,31.268,6.797,0.112,0.148,24.463,1.447,E01001355,5.0,E01001355,6.0,E01001355,7.0
