,lsoa,all_2011,0-14_2011,15-29_2011,30-69_2011,70+_2011,all_2020,0-14_2020,15-29_2020,30-69_2020,70+_2020
831,E01003076,1929,292,593,987,57,2145,298,578,1197,72
832,E01003077,1805,271,551,912,71,1832,247,491,1002,92
833,E01003078,1579,252,305,892,130,1680,305,245,990,140
834,E01003019,2105,222,818,959,106,1952,194,667,993,98
835,E01003053,1743,141,685,830,87,1633,129,582,853,69
836,E01003054,1858,122,930,767,39,1982,173,860,886,63
837,E01003056,1957,189,827,873,68,1539,146,549,796,48
838,E01003058,1962,164,934,781,83,1756,184,677,813,82
839,E01003020,1784,258,534,908,84,1711,253,459,904,95
840,E01003050,1666,185,618,793,70,1820,198,662,893,67
841,E01003052,1828,408,487,865,68,1840,323,429,1005,83
842,E01003055,1501,110,487,810,94,1654,154,427,994,79
843,E01003176,1905,493,418,877,117,1956,448,412,1007,89
844,E01003029,1822,209,609,890,114,1889,231,581,978,99
845,E01003032,1759,232,593,808,126,1729,217,476,885,151
846,E01003041,1627,274,513,706,134,1518,231,444,740,103
847,E01003057,1694,255,646,725,68,1538,265,489,716,68
848,E01003043,1651,201,533,798,119,1573,212,425,805,131
849,E01003044,1241,243,273,688,37,1008,205,159,570,74
850,E01003051,1655,303,545,770,37,1904,235,570,1044,55
851,E01003071,2282,317,644,1243,78,2447,389,624,1362,72
852,E01003074,2359,403,521,1350,85,2314,389,460,1348,117
853,E01003026,1497,178,463,795,61,1544,195,442,817,90
854,E01003027,1380,288,312,721,59,1308,275,240,668,125
855,E01003028,1482,281,389,738,74,1551,285,367,813,86
856,E01003030,1807,228,615,903,61,2018,288,613,1031,86
857,E01003033,1533,299,369,805,60,1598,325,359,816,98
858,E01003018,2093,231,688,1106,68,2168,175,685,1207,101
859,E01003171,1752,268,486,911,87,1677,231,411,943,92
860,E01003173,1619,231,412,877,99,1664,225,371,965,103
861,E01003177,1662,267,509,816,70,1729,279,419,949,82
862,E01003178,1622,183,473,869,97,1659,226,425,904,104
863,E01003021,1902,256,526,934,186,2371,253,592,1352,174
864,E01003022,1756,253,532,890,81,1765,257,458,959,91
865,E01003023,2387,336,743,1213,95,2665,373,772,1433,87
866,E01003024,1810,395,490,844,81,1773,356,425,926,66
867,E01003025,2077,399,517,1047,114,2023,340,465,1102,116
868,E01003136,1590,281,410,826,73,1702,256,385,991,70
869,E01003137,1478,292,364,744,78,1616,273,320,931,92
870,E01003159,1481,295,397,739,50,1384,199,340,788,57
871,E01003160,1470,346,417,650,57,1375,201,375,735,64
872,E01003162,2116,528,496,993,99,1902,357,419,1040,86
873,E01003031,1676,228,665,734,49,1667,250,558,774,85
874,E01003156,1566,270,392,797,107,1695,287,441,879,88
875,E01003157,1554,325,349,810,70,1735,396,311,899,129
876,E01003158,1602,223,382,917,80,1761,294,389,995,83
877,E01003161,1267,241,387,543,96,1182,228,330,538,86
878,E01003163,1521,254,405,733,129,1614,280,363,826,145
879,E01003132,1520,312,327,691,190,1579,313,312,788,166
880,E01003172,1950,405,490,957,98,1903,394,393,1006,110
881,E01003174,2039,508,515,945,71,1837,385,405,985,62
882,E01003175,1610,376,424,748,62,1536,324,322,826,64
883,E01003179,1658,388,456,757,57,1614,388,383,789,54
884,E01003164,2114,412,524,1104,74,2186,419,476,1180,111
885,E01003165,1602,324,295,852,131,1568,333,235,826,174
886,E01003168,1584,323,389,776,96,1591,331,321,804,135
887,E01003169,2434,464,533,1334,103,2348,492,411,1336,109
888,E01003170,1835,368,262,1018,187,1888,429,245,1018,196
889,E01003130,1750,279,382,981,108,1928,360,279,1165,124
890,E01003131,1455,242,376,755,82,2142,337,494,1207,104
891,E01003135,1696,279,433,900,84,1716,217,401,1000,98
892,E01003138,1545,220,370,873,82,1730,317,294,1025,94
893,E01003151,1954,510,455,851,138,1963,438,404,1000,121
894,E01003079,1791,388,387,860,156,1706,413,301,915,77
895,E01003080,1606,313,343,880,70,1784,407,266,1019,92
896,E01003133,1720,317,397,932,74,1599,298,279,946,76
897,E01003134,1561,279,329,836,117,1578,274,306,878,120
898,E01003152,1950,339,485,1002,124,2096,356,392,1212,136
899,E01003064,1540,303,316,862,59,1534,364,247,830,93
900,E01003066,1685,337,381,856,111,1862,369,355,1018,120
901,E01003081,1787,355,419,945,68,2051,465,332,1186,68
902,E01003166,2284,449,519,1238,78,2676,545,488,1518,125
903,E01003167,1713,368,253,978,114,1708,360,250,928,170
904,E01003116,1604,279,355,825,145,1640,281,300,887,172
905,E01003117,1935,274,561,977,123,2157,351,444,1225,137
906,E01003118,1744,263,442,897,142,2002,382,378,1083,159
907,E01003153,2079,206,695,1090,88,2450,256,591,1516,87
908,E01003155,1809,284,420,1001,104,2012,323,339,1219,131
909,E01003083,1504,279,277,814,134,1594,276,242,921,155
910,E01003084,1622,338,330,885,69,1662,334,268,928,132
911,E01003085,1729,354,321,885,169,1957,442,288,998,229
912,E01003149,1781,321,363,930,167,1874,397,229,1068,180
913,E01003154,1844,356,435,928,125,1958,381,339,1091,147
914,E01003065,1481,350,346,674,111,1552,433,233,796,90
915,E01003068,1592,416,273,807,96,1593,413,239,841,100
916,E01003082,1457,311,250,752,144,1577,367,209,819,182
917,E01003086,1608,418,339,775,76,1771,445,320,895,111
918,E01003087,1658,491,315,763,89,1722,477,294,865,86
919,E01003113,1988,338,537,1036,77,2210,393,440,1291,86
920,E01003114,1829,309,480,967,73,2418,462,475,1380,101
921,E01003119,1891,301,502,1005,83,2285,402,428,1310,145
922,E01003120,1987,308,512,1092,75,2669,416,553,1567,133
923,E01003148,1789,371,366,976,76,1970,360,426,1112,72
924,E01003150,1721,356,399,856,110,1904,391,371,1019,123
925,E01003062,1671,271,346,988,66,1999,388,267,1244,100
926,E01003063,1437,311,281,761,84,1383,317,176,818,72
927,E01003067,1478,288,298,795,97,1482,347,202,830,103
928,E01003069,1363,342,246,697,78,1414,365,208,753,88
929,E01003070,1496,319,324,783,70,1450,301,230,844,75
930,E01003115,1625,307,425,836,57,1690,349,301,964,76
931,E01003141,1712,343,341,875,153,1879,372,253,1071,183
932,E01003144,1568,284,319,801,164,1486,261,210,830,185
933,E01003145,1708,251,439,903,115,1897,291,365,1100,141
934,E01003147,2000,371,512,1008,109,2088,378,387,1192,131
935,E01003139,1575,344,351,760,120,1724,346,278,979,121
936,E01003140,1496,315,332,737,112,1539,347,236,850,106
937,E01003142,1369,284,300,644,141,1436,291,229,757,159
938,E01003143,1431,276,319,688,148,1453,267,244,755,187
939,E01003146,1527,322,412,700,93,1628,313,319,891,105
940,E01003013,1661,125,652,822,62,2909,120,1690,995,104
941,E01003014,1539,158,509,742,130,1693,214,386,924,169
942,E01003016,1367,73,742,510,42,2888,99,2027,673,89
943,E01003017,1667,197,393,950,127,1952,185,666,937,164
944,E01032582,1912,233,603,958,118,1987,257,473,1129,128
945,E01003244,1625,491,381,700,53,1687,462,350,807,68
946,E01003245,1573,462,424,645,42,1861,399,506,924,32
947,E01003247,1700,168,690,793,49,2292,260,698,1237,97
948,E01003249,1957,326,620,934,77,2106,254,522,1231,99
949,E01003250,1774,320,564,801,89,4024,538,1209,2148,129
950,E01003246,1451,265,433,683,70,1934,352,484,1025,73
951,E01003248,1634,383,432,753,66,1707,356,394,900,57
952,E01003251,2014,522,605,799,88,2224,510,600,1026,88
953,E01003252,1558,440,352,696,70,1477,391,258,755,73
954,E01003253,1452,271,380,698,103,1539,245,292,877,125
955,E01003297,1553,353,434,747,19,1649,322,448,849,30
956,E01003299,1633,318,505,745,65,1698,270,488,856,84
957,E01003301,2202,370,810,975,47,2406,331,849,1170,56
958,E01003302,1512,302,357,770,83,1610,302,322,891,95
959,E01003305,1368,262,331,648,127,1968,389,437,994,148
960,E01003207,1410,268,384,684,74,1768,277,453,915,123
961,E01003209,2027,319,791,823,94,2091,294,804,897,96
962,E01003210,1761,247,494,960,60,2000,317,402,1209,72
963,E01003212,1992,250,607,993,142,2099,306,531,1131,131
964,E01003215,1968,247,963,707,51,2140,280,966,838,56
965,E01003338,1787,354,430,873,130,2086,377,469,1094,146
966,E01003339,1776,304,538,828,106,1748,269,466,893,120
967,E01003340,1932,214,732,905,81,1921,212,650,979,80
968,E01003341,1511,275,379,791,66,1470,259,318,822,71
969,E01003343,1365,240,329,719,77,1528,286,306,841,95
970,E01003199,1739,288,370,979,102,1920,298,341,1131,150
971,E01003201,1667,331,391,834,111,1762,306,355,984,117
972,E01003204,1402,265,302,767,68,1724,327,369,924,104
973,E01003205,1333,309,368,573,83,1407,317,330,671,89
974,E01003206,1581,295,268,907,111,1672,285,266,982,139
975,E01003211,1577,238,370,906,63,1533,261,315,878,79
976,E01003213,1957,281,537,1076,63,2072,370,488,1117,97
977,E01003214,1785,343,449,920,73,1887,375,390,1035,87
978,E01033324,1606,253,414,809,130,1604,270,364,848,122
979,E01033325,1229,70,492,660,7,1616,104,459,1020,33
980,E01003198,1470,270,220,809,171,1485,300,211,809,165
981,E01003200,1565,219,336,884,126,1684,286,339,915,144
982,E01003202,1559,208,244,897,210,1582,246,213,878,245
983,E01003203,1784,251,394,1017,122,2076,299,369,1263,145
984,E01003336,1391,348,283,675,85,1466,324,272,785,85
985,E01003337,1634,493,321,768,52,1617,440,242,854,81
986,E01003342,1650,298,370,918,64,1735,351,266,1034,84
987,E01003344,1739,258,471,927,83,1806,237,433,1062,74
988,E01003345,1728,250,474,953,51,2094,366,468,1173,87
989,E01003273,2018,284,729,915,90,1987,272,593,1014,108
990,E01003277,1729,283,400,976,70,1762,244,338,1082,98
991,E01003278,1913,269,571,945,128,1963,318,468,1043,134
992,E01003279,1599,249,336,900,114,1666,286,310,928,142
993,E01003288,1813,315,447,842,209,2180,356,442,1151,231
994,E01003290,1748,269,571,798,110,1707,299,399,911,98
995,E01003291,1515,337,329,717,132,1383,286,243,752,102
996,E01003296,2075,328,603,1044,100,6068,895,1935,3122,116
997,E01033327,1543,211,439,788,105,2077,267,526,1191,93
998,E01033341,1309,303,340,621,45,1311,349,238,670,54
999,E01003282,2435,355,724,1240,116,2674,397,706,1429,142
1000,E01003283,2105,434,343,1191,137,2223,454,272,1316,181
1001,E01003284,1765,318,336,984,127,1935,359,309,1127,140
1002,E01003286,1633,326,282,801,224,1776,411,260,925,180
1003,E01003272,1986,308,590,992,96,2066,303,554,1081,128
1004,E01003274,1727,327,392,924,84,1731,285,381,957,108
1005,E01003275,1722,354,368,809,191,1659,308,295,873,183
1006,E01003276,1901,427,395,980,99,1901,448,298,1024,131
1007,E01003225,1507,277,227,905,98,1602,390,160,933,119
1008,E01003231,1618,315,398,816,89,1594,298,365,846,85
1009,E01003232,1721,357,323,948,93,1854,430,257,1041,126
1010,E01003233,1705,337,308,949,111,1785,364,233,1064,124
1011,E01003280,1608,342,328,807,131,1776,429,245,955,147
1012,E01003281,1536,311,245,835,145,1566,300,210,902,154
1013,E01003285,1619,255,308,921,135,2039,381,302,1180,176
1014,E01003287,1908,356,317,1107,128,2091,465,266,1201,159
1015,E01003292,1574,244,356,884,90,1600,284,276,939,101
1016,E01003293,1525,285,339,827,74,1593,278,265,942,108
1017,E01003295,1675,293,399,880,103,1945,412,360,1044,129
1018,E01033320,1500,258,308,842,92,1835,304,306,1100,125
1019,E01033322,1285,193,338,722,32,1426,219,264,900,43
1020,E01003319,1826,406,357,909,154,2019,444,343,1078,154
1021,E01003320,1505,330,300,785,90,1370,254,238,811,67
1022,E01003323,1488,265,362,764,97,1429,261,247,834,87
1023,E01003325,1735,422,354,858,101,1778,416,283,980,99
1024,E01003226,1754,302,424,934,94,1725,337,290,1005,93
1025,E01003227,1665,290,327,918,130,1710,324,242,1026,118
1026,E01003228,1518,263,231,920,104,1568,307,161,987,113
1027,E01003229,1566,302,307,816,141,1676,296,273,970,137
1028,E01003230,1941,396,386,1061,98,2025,426,333,1165,101
1029,E01003317,1877,430,346,965,136,2980,720,453,1659,148
1030,E01003318,1653,297,401,850,105,2016,413,415,1061,127
1031,E01003321,1967,413,504,936,114,2032,450,453,1022,107
1032,E01003322,1437,275,302,767,93,1545,282,279,882,102
1033,E01003324,1475,295,300,780,100,1837,426,279,1051,81
1034,E01003254,1438,248,198,861,131,1528,326,189,867,146
1035,E01003255,1907,281,405,1161,60,2195,299,416,1394,86
1036,E01003260,1818,485,296,919,118,1980,600,235,982,163
1037,E01003261,1503,321,254,831,97,1498,326,224,824,124
1038,E01003262,1377,299,209,795,74,1545,372,225,881,67
1039,E01003217,1672,379,304,849,140,1638,361,259,874,144
1040,E01003218,1502,311,293,793,105,1657,339,292,904,122
1041,E01003220,1556,266,342,809,139,1784,274,294,1062,154
1042,E01003222,1636,334,330,849,123,1735,331,288,997,119
1043,E01003224,1662,330,343,880,109,1776,402,299,952,123
1044,E01003263,1666,374,288,818,186,1795,403,270,975,147
1045,E01003268,1666,276,369,891,130,1928,368,372,1064,124
1046,E01003269,1551,295,323,828,105,1660,327,252,931,150
1047,E01003270,1641,279,359,882,121,1770,289,294,1028,159
1048,E01003271,1659,284,265,936,174,1688,293,210,953,232
1049,E01003307,1521,292,242,859,128,1562,282,205,947,128
1050,E01003308,1826,383,319,1009,115,1939,396,298,1101,144
1051,E01003314,1608,306,298,926,78,1828,435,224,1076,93
1052,E01003315,1300,239,282,695,84,1393,247,252,824,70
1053,E01003316,1493,285,289,810,109,1523,288,240,879,116
1054,E01003216,1882,360,428,966,128,1966,415,331,1122,98
1055,E01003219,1650,308,341,837,164,1719,336,317,880,186
1056,E01003221,1969,420,437,945,167,2161,463,348,1174,176
1057,E01003223,1722,317,383,845,177,1690,271,319,887,213
1058,E01003346,1542,365,333,709,135,1639,336,280,876,147
1059,E01003349,1408,392,285,634,97,1657,427,309,835,86
1060,E01003351,1460,362,259,672,167,1555,378,248,785,144
1061,E01003354,1677,372,348,853,104,2013,443,374,1090,106
1062,E01003309,1506,323,329,705,149,1552,336,320,764,132
1063,E01003310,1569,276,383,845,65,1723,288,302,1065,68
1064,E01003311,1546,271,252,863,160,1720,407,228,897,188
1065,E01003312,1761,311,361,980,109,1755,338,248,1026,143
1066,E01003313,1529,382,315,757,75,1517,364,237,853,63
1067,E01003256,2069,370,502,1038,159,2533,514,500,1380,139
1068,E01003257,1667,339,266,838,224,1691,360,243,920,168
1069,E01003258,1504,410,315,687,92,1493,349,350,737,57
1070,E01003259,1624,283,305,914,122,1851,387,263,1095,106
1071,E01003193,1563,311,285,816,151,1706,346,284,886,190
1072,E01003194,1677,355,299,873,150,1876,377,291,1035,173
1073,E01003195,1546,330,275,804,137,1596,334,238,879,145
1074,E01003196,1673,411,352,777,133,1833,485,259,948,141
1075,E01003197,1632,379,346,787,120,1634,352,236,936,110
1076,E01003347,1730,546,364,740,80,1858,529,340,876,113
1077,E01003348,1458,290,280,718,170,1685,373,278,903,131
1078,E01003350,1410,359,286,657,108,1260,241,279,654,86
1079,E01003352,1815,385,372,854,204,2397,544,424,1231,198
1080,E01003353,1738,343,363,872,160,1818,358,329,955,176
1081,E01003264,1605,290,311,799,205,1552,293,238,843,178
1082,E01003265,1542,344,394,724,80,1613,385,318,836,74
1083,E01003266,1726,362,351,824,189,1786,373,277,956,180
1084,E01003267,1570,362,302,764,142,1534,306,266,817,145
1085,E01003329,1589,341,286,886,76,1691,367,238,980,106
1086,E01003330,1544,388,284,721,151,1712,415,287,835,175
1087,E01003331,1406,270,247,716,173,1537,256,281,801,199
1088,E01003332,1477,270,264,831,112,1611,276,221,1003,111
1089,E01003334,1661,289,338,885,149,1919,431,262,1108,118
1090,E01003189,1664,427,353,764,120,1691,426,293,850,122
1091,E01003190,1885,516,357,934,78,2418,692,370,1252,104
1092,E01003191,1501,376,317,716,92,1633,382,241,880,130
1093,E01003192,1645,382,334,803,126,1740,399,300,920,121
1094,E01003326,1474,273,266,745,190,1576,325,236,847,168
1095,E01003327,1808,293,502,892,121,1959,329,443,1044,143
1096,E01003328,1721,283,331,954,153,1766,307,251,1063,145
1097,E01003333,1553,302,341,820,90,1587,295,271,934,87
1098,E01003335,1398,295,294,704,105,1421,277,247,757,140
1099,E01003236,1591,407,329,729,126,1691,382,279,922,108
1100,E01003237,1477,353,280,711,133,1672,419,259,870,124
1101,E01003238,1410,378,275,650,107,1383,329,216,755,83
1102,E01003239,1429,359,277,678,115,1542,341,274,814,113
1103,E01032564,1311,349,267,596,99,1339,315,242,673,109
1104,E01003235,1284,252,276,640,116,1315,269,242,697,107
1105,E01003240,1790,425,369,822,174,1909,426,330,987,166
1106,E01003241,1538,269,271,782,216,1671,241,203,936,291
1107,E01003243,1364,289,280,642,153,1528,331,285,793,119
1108,E01032565,1389,319,240,660,170,1629,382,238,874,135
1109,E01003298,1296,295,360,588,53,1266,232,292,675,67
1110,E01003300,1360,288,334,664,74,1306,251,253,714,88
1111,E01003303,1559,270,510,712,67,1558,218,481,787,72
1112,E01003304,1920,309,577,967,67,2226,322,471,1358,75
1113,E01032579,1467,268,425,733,41,1948,318,510,1088,32
1114,E01003543,2497,501,776,1107,113,2437,481,528,1299,129
1115,E01003544,1956,402,539,921,94,1908,390,355,1058,105
1116,E01003546,1958,499,583,800,76,1777,395,405,902,75
1117,E01003550,1786,369,507,810,100,1827,409,357,951,110
1118,E01003576,1961,532,520,793,116,2037,572,343,977,145
1119,E01003581,1863,424,556,805,78,1916,451,369,996,100
1120,E01003582,1620,425,449,678,68,1806,507,353,839,107
1121,E01003583,1971,475,554,808,134,1885,497,359,915,114
1122,E01003578,1972,510,618,802,42,2171,601,431,1078,61
1123,E01003584,2081,432,601,944,104,1909,382,360,1021,146
1124,E01003586,1774,329,598,774,73,1910,364,354,1078,114
1125,E01003590,1581,357,358,699,167,1577,373,242,851,111
1126,E01003579,1863,438,560,781,84,1917,492,401,931,93
1127,E01003585,1662,384,516,674,88,1587,377,305,807,98
1128,E01003587,2463,549,720,1081,113,2501,619,483,1255,144
1129,E01003591,2190,504,702,901,83,2342,564,471,1213,94
1130,E01003528,1396,381,364,559,92,1432,404,272,669,87
1131,E01003575,1713,472,451,724,66,1724,480,324,827,93
1132,E01003577,1921,561,471,770,119,2175,607,465,978,125
1133,E01003580,1840,532,421,801,86,1979,549,359,982,89
1134,E01003545,1733,390,472,804,67,1803,394,368,931,110
1135,E01003548,2380,390,835,999,156,2393,391,571,1222,209
1136,E01003549,2128,340,727,965,96,2207,369,496,1203,139
1137,E01003557,2060,392,680,921,67,2197,475,423,1183,116
1138,E01003547,1939,357,495,995,92,1947,376,303,1097,171
1139,E01003555,1854,339,596,810,109,1876,413,375,962,126
1140,E01003561,1902,384,701,735,82,1994,465,392,992,145
1141,E01003567,1840,379,618,764,79,1905,455,362,979,109
1142,E01003556,1933,353,760,747,73,2124,531,552,970,71
1143,E01003558,1638,324,544,654,116,1704,382,353,861,108
1144,E01003570,2091,424,706,866,95,1973,452,373,1026,122
1145,E01003571,2300,468,804,917,111,2139,521,452,1034,132
1146,E01003572,1798,407,586,712,93,1767,473,351,835,108
1147,E01003551,1845,338,611,776,120,1892,360,378,1052,102
1148,E01003553,1954,399,673,819,63,1833,399,464,882,88
1149,E01003554,1883,253,695,846,89,2014,255,482,1124,153
1150,E01003559,2640,414,958,1188,80,2589,410,640,1441,98
1151,E01003529,2406,432,807,1031,136,2509,510,517,1317,165
1152,E01003530,1843,346,642,761,94,1824,364,365,1000,95
1153,E01003531,2019,392,710,818,99,2207,467,440,1157,143
1154,E01003532,2022,350,666,871,135,2248,459,393,1245,151
1155,E01003534,2426,550,772,996,108,2440,616,489,1204,131
1156,E01003533,1896,398,614,750,134,2205,530,425,1017,233
1157,E01003560,1865,415,614,747,89,1816,374,391,927,124
1158,E01003563,2049,451,669,859,70,2344,578,466,1188,112
1159,E01003588,1804,406,609,711,78,1707,418,319,885,85
1160,E01003589,1892,451,568,805,68,1922,438,401,1002,81
1161,E01003616,1670,230,578,804,58,1843,308,461,992,82
1162,E01003617,2795,397,1106,1140,152,3430,436,1066,1760,168
1163,E01003618,2230,311,749,1086,84,2241,327,501,1305,108
1164,E01003619,2301,302,956,949,94,2689,457,768,1355,109
1165,E01003615,1852,326,646,781,99,1948,368,478,978,124
1166,E01033578,1293,189,616,475,13,4667,466,2174,1985,42
1167,E01033579,1313,138,625,534,16,2133,224,827,1052,30
1168,E01033583,3124,478,1145,1380,121,17274,2099,8334,6644,197
1169,E01033586,1421,281,375,719,46,1889,350,430,1049,60
1170,E01003562,2240,391,803,947,99,2223,464,392,1230,137
1171,E01003564,2493,534,820,1062,77,2564,580,461,1382,141
1172,E01003565,1882,406,638,767,71,2005,517,370,1038,80
1173,E01003566,1807,399,594,735,79,2001,512,374,1026,89
1174,E01003625,1711,399,520,727,65,1798,481,309,912,96
1175,E01003626,1601,328,473,727,73,1651,347,302,896,106
1176,E01003627,1616,311,486,733,86,1505,299,290,832,84
1177,E01003628,1679,375,478,762,64,1720,386,326,914,94
1178,E01003629,1679,409,445,734,91,1594,398,291,809,96
1179,E01003552,1735,381,490,769,95,1737,411,356,880,90
1180,E01003596,1795,391,509,779,116,1933,459,344,1009,121
1181,E01003597,1653,347,495,724,87,1591,345,278,886,82
1182,E01003635,1961,304,636,938,83,2005,374,430,1069,132
1183,E01003568,2331,431,797,991,112,2326,472,402,1296,156
1184,E01003569,1930,326,704,810,90,2050,441,381,1096,132
1185,E01003573,2180,465,678,936,101,2188,477,417,1150,144
1186,E01003574,2675,487,871,1141,176,2577,573,419,1338,247
1187,E01003520,2019,356,738,802,123,2296,470,501,1188,137
1188,E01003521,2285,394,802,1014,75,2562,569,458,1399,136
1189,E01003522,1926,462,560,811,93,2041,495,400,1032,114
1190,E01003525,2004,425,630,874,75,2184,506,440,1106,132
1191,E01003526,1940,436,551,851,102,1903,450,414,919,120
1192,E01003488,1878,450,466,834,128,1942,425,333,1012,172
1193,E01003489,1822,485,505,734,98,2106,537,454,989,126
1194,E01003490,1874,471,562,779,62,1931,458,433,970,70
1195,E01003524,2044,414,678,850,102,2118,503,442,1052,121
1196,E01003631,1850,354,507,919,70,1795,274,350,1030,141
1197,E01003632,2284,452,662,1055,115,2614,456,565,1398,195
1198,E01003633,1881,448,547,804,82,1856,377,422,976,81
1199,E01003634,1811,370,553,796,92,1817,308,423,947,139
1200,E01003636,1984,449,583,860,92,2037,352,540,1028,117
1201,E01003598,1902,483,491,858,70,2013,487,394,1014,118
1202,E01003600,1902,466,500,838,98,1736,358,365,908,105
1203,E01003630,2029,429,563,937,100,2069,410,398,1134,127
1204,E01003637,1858,345,607,798,108,1820,291,461,970,98
1205,E01003491,1995,325,697,812,161,2240,390,414,1187,249
1206,E01003592,1853,395,528,838,92,1850,373,433,915,129
1207,E01003599,1623,354,484,696,89,1617,341,367,768,141
1208,E01003606,2163,497,577,963,126,2939,740,509,1489,201
1209,E01003535,1701,389,435,747,130,1749,400,348,890,111
1210,E01003536,1852,496,480,805,71,2084,605,386,996,97
1211,E01003621,1677,429,446,744,58,1623,380,304,849,90
1212,E01003622,1617,421,424,698,74,1800,498,309,894,99
1213,E01003623,1763,486,460,717,100,1813,469,415,863,66
1214,E01003523,2055,458,542,914,141,2045,442,421,1001,181
1215,E01003527,1785,439,425,809,112,1988,490,377,1008,113
1216,E01003537,2068,493,519,952,104,2230,560,434,1126,110
1217,E01003542,1970,547,426,880,117,2123,524,440,1015,144
1218,E01003624,1587,402,402,701,82,1743,434,350,872,87
1219,E01003492,2023,493,571,863,96,2075,491,426,1029,129
1220,E01003493,2320,501,673,1026,120,2690,630,506,1434,120
1221,E01003494,2054,539,508,908,99,2344,641,408,1174,121
1222,E01003495,2121,531,506,996,88,2186,521,418,1119,128
1223,E01003594,1752,386,504,803,59,1828,368,343,1035,82
1224,E01003595,1540,299,463,662,116,1795,335,397,895,168
1225,E01003602,1998,389,595,913,101,2089,416,444,1106,123
1226,E01003607,1661,366,536,702,57,1841,388,442,927,84
1227,E01003496,1460,265,427,730,38,1424,249,340,757,78
1228,E01003498,1750,376,495,801,78,1906,393,428,1008,77
1229,E01003500,2062,474,572,932,84,2236,423,510,1181,122
1230,E01003593,1558,343,446,700,69,1578,310,315,853,100
1231,E01003601,2145,528,551,970,96,2216,492,449,1163,112
1232,E01003603,1949,480,458,928,83,2037,497,327,1105,108
1233,E01003605,2118,481,622,898,117,2288,480,499,1180,129
1234,E01003608,2092,491,516,991,94,2206,532,391,1168,115
1235,E01003538,2089,531,507,897,154,2151,538,402,1048,163
1236,E01003539,2228,588,557,969,114,2441,671,477,1180,113
1237,E01003540,1843,489,451,817,86,2030,513,464,962,91
1238,E01003541,1879,529,462,812,76,2120,538,478,1007,97
1239,E01003499,2279,564,535,984,196,2658,603,576,1271,208
1240,E01003501,2060,429,587,931,113,2477,500,506,1331,140
1241,E01003502,1855,352,551,862,90,2313,424,547,1236,106
1242,E01003503,1714,389,441,780,104,2821,484,717,1485,135
1243,E01003507,2120,427,575,960,158,2579,549,528,1341,161
1244,E01003508,1612,405,419,700,88,2324,520,503,1179,122
1245,E01003509,1969,437,520,918,94,2238,545,456,1105,132
1246,E01003604,2374,634,566,1101,73,2332,582,454,1197,99
1247,E01003483,1495,327,443,665,60,1486,309,316,782,79
1248,E01003484,1630,360,433,809,28,1648,377,297,923,51
1249,E01003516,1866,453,494,825,94,1785,402,373,923,87
1250,E01003518,1602,347,382,819,54,1659,376,268,921,94
1251,E01003519,1590,318,488,730,54,1603,319,381,809,94
1252,E01003480,2198,350,972,807,69,2191,309,711,1055,116
1253,E01003482,2667,538,852,1225,52,3778,776,807,2126,69
1254,E01003486,1214,241,383,499,91,1197,245,236,596,120
1255,E01003487,1379,335,385,618,41,1293,272,249,724,48
1256,E01003497,1723,344,459,802,118,1791,322,413,912,144
1257,E01003506,1484,306,435,653,90,1176,234,231,615,96
1258,E01033574,1109,72,514,514,9,1684,191,445,1017,31
1259,E01033575,1040,57,512,469,2,1609,195,558,830,26
1260,E01033576,1309,168,510,583,48,3602,385,1314,1786,117
1261,E01033584,1602,403,451,664,84,1523,363,314,746,100
1262,E01033585,2468,453,825,1056,134,2774,510,854,1285,125
1263,E01003479,1513,358,336,783,36,1610,385,255,878,92
1264,E01003481,1591,292,556,653,90,1640,346,357,865,72
1265,E01003485,1577,358,362,789,68,1590,369,260,906,55
1266,E01003513,1598,375,434,752,37,1604,388,296,847,73
1267,E01003511,1399,417,358,555,69,1744,409,390,843,102
1268,E01003512,1814,386,463,839,126,1898,371,396,1000,131
1269,E01003514,1519,358,402,702,57,1467,336,308,786,37
1270,E01003515,1810,433,442,809,126,1760,399,349,877,135
1271,E01003517,1683,389,446,793,55,1577,364,330,820,63
1272,E01003609,2717,572,852,1202,91,4578,1010,1165,2325,78
1273,E01003611,1809,514,439,788,68,2048,512,430,998,108
1274,E01033577,1506,269,478,734,25,5439,825,1998,2536,80
1275,E01033580,1553,180,581,785,7,2006,260,626,1076,44
1276,E01033581,1794,396,484,830,84,1834,452,358,927,97
1277,E01033582,1399,216,483,691,9,1787,301,375,1053,58
1278,E01004029,1845,206,679,931,29,2434,304,586,1492,52
1279,E01004032,1716,172,677,843,24,2022,233,516,1200,73
1280,E01004053,1844,191,540,1055,58,2070,254,414,1319,83
1281,E01004054,1660,180,481,966,33,1699,206,325,1083,85
1282,E01004055,1287,231,274,681,101,1356,248,180,741,187
1283,E01003927,2396,206,1048,1035,107,3710,246,1911,1468,85
1284,E01003929,2121,181,658,1190,92,2450,257,600,1492,101
1285,E01003934,1419,145,313,808,153,2229,171,718,1163,177
1286,E01003935,1352,124,656,512,60,1340,132,580,573,55
1287,E01003939,1860,208,680,920,52,1979,202,805,915,57
1288,E01003976,1967,310,664,912,81,2459,501,607,1303,48
1289,E01004027,2083,266,737,1025,55,2779,382,783,1565,49
1290,E01032637,1260,60,483,709,8,1630,66,566,971,27
