,lsoa,all_2011,0-14_2011,15-29_2011,30-69_2011,70+_2011,all_2020,0-14_2020,15-29_2020,30-69_2020,70+_2020
386,E01032789,1153,200,327,603,23,1589,317,354,859,59
387,E01032790,1122,241,238,578,65,1440,284,269,772,115
388,E01001915,1474,315,266,750,143,1652,361,328,814,149
389,E01001916,1386,175,221,739,251,1470,192,200,734,344
390,E01001926,1454,254,336,767,97,1524,340,272,749,163
391,E01001952,1622,142,601,805,74,1627,197,494,860,76
392,E01001925,1617,368,298,854,97,1755,436,315,865,139
393,E01001934,1623,296,417,790,120,1849,412,323,965,149
394,E01001937,1816,284,508,922,102,1906,395,401,960,150
395,E01001938,1562,353,370,755,84,1572,344,329,774,125
396,E01001969,1896,304,451,1000,141,2104,442,344,1162,156
397,E01001971,2015,420,494,969,132,1969,344,428,1062,135
398,E01001974,2206,307,562,1181,156,2314,429,381,1347,157
399,E01001975,1724,260,449,944,71,2034,362,364,1185,123
400,E01002036,1627,399,373,760,95,1787,423,330,918,116
401,E01002037,1839,419,380,951,89,2108,465,351,1178,114
402,E01002039,1612,457,373,706,76,1637,488,336,737,76
403,E01002040,2061,509,500,933,119,2305,530,449,1179,147
404,E01001962,1751,423,305,926,97,1779,487,248,898,146
405,E01001970,2004,399,587,942,76,2069,363,509,1099,98
406,E01001972,1676,298,371,864,143,1674,269,298,961,146
407,E01001973,2259,421,501,1140,197,2548,521,381,1385,261
408,E01002090,1601,351,374,776,100,1500,274,308,809,109
409,E01002093,1790,438,367,864,121,1737,326,345,958,108
410,E01002096,1646,413,363,740,130,1610,321,317,864,108
411,E01002097,1686,489,374,755,68,1578,357,352,780,89
412,E01002091,1794,419,412,781,182,1849,387,356,931,175
413,E01002092,1695,421,392,837,45,1629,414,299,844,72
414,E01002094,1561,398,369,712,82,1555,294,321,824,116
415,E01002095,1635,442,370,760,63,1550,302,319,836,93
416,E01002098,1347,193,303,765,86,1441,229,247,873,92
417,E01002101,1914,315,494,991,114,2161,403,404,1255,99
418,E01002102,1885,300,500,971,114,1952,340,376,1098,138
419,E01002105,2069,322,626,1012,109,2550,435,548,1425,142
420,E01002099,2108,496,539,949,124,2127,413,460,1116,138
421,E01002100,1915,406,487,917,105,1997,406,357,1075,159
422,E01002103,1874,337,531,877,129,1915,310,424,1030,151
423,E01002104,1433,261,342,721,109,1633,241,300,947,145
424,E01001963,1813,412,265,1016,120,1735,447,216,906,166
425,E01001964,1591,275,316,935,65,1542,291,249,896,106
426,E01001965,1624,354,223,977,70,1644,410,205,929,100
427,E01001966,1511,297,275,813,126,1416,281,195,737,203
428,E01002027,1545,258,440,731,116,1577,236,361,851,129
429,E01002028,1777,287,522,861,107,1792,278,402,979,133
430,E01002032,1817,375,465,895,82,1874,362,356,1051,105
431,E01002033,1910,425,438,931,116,1902,346,377,1073,106
432,E01001976,1624,369,337,811,107,1671,351,287,910,123
433,E01001977,1584,368,357,756,103,1556,329,258,856,113
434,E01001978,1906,381,447,907,171,1974,368,392,1061,153
435,E01001979,2206,500,658,965,83,2423,466,611,1212,134
436,E01002074,2120,555,428,979,158,2279,569,383,1166,161
437,E01002077,2082,494,683,832,73,2286,477,636,1085,88
438,E01002079,1645,378,377,795,95,1842,333,358,1023,128
439,E01002081,1782,331,581,740,130,1941,325,569,868,179
440,E01002082,1507,361,374,707,65,1167,189,267,632,79
441,E01002086,1654,295,434,792,133,1371,228,281,711,151
442,E01002088,1854,297,479,928,150,2047,350,414,1152,131
443,E01002089,1526,395,366,700,65,1467,405,273,683,106
444,E01001967,1654,316,296,890,152,1516,307,223,802,184
445,E01001968,1834,307,362,1038,127,1695,317,318,894,166
446,E01001996,1629,302,302,919,106,1705,377,242,948,138
447,E01001997,1586,225,419,873,69,1570,286,312,887,85
448,E01002075,1787,414,591,706,76,2236,470,750,913,103
449,E01002076,1883,404,534,843,102,1996,412,511,920,153
450,E01002078,2191,448,496,1153,94,2532,398,559,1447,128
451,E01002080,1606,260,549,698,99,3897,602,1372,1779,144
452,E01002026,1626,334,432,761,99,1794,357,354,968,115
453,E01002029,1737,291,576,793,77,2005,341,533,1028,103
454,E01002030,1657,268,423,843,123,1772,265,346,1004,157
455,E01002031,1946,272,586,969,119,2189,254,469,1320,146
456,E01001991,1685,331,316,902,136,1800,387,315,951,147
457,E01001992,1705,333,277,927,168,1698,311,248,879,260
458,E01001993,1675,422,218,895,140,1563,343,182,854,184
459,E01001995,2391,594,485,1174,138,2465,639,412,1287,127
460,E01001980,1984,431,471,971,111,1894,346,362,1086,100
461,E01001981,1769,345,463,854,107,1770,277,372,975,146
462,E01001982,1780,336,419,907,118,1843,393,291,1026,133
463,E01001983,1659,330,386,847,96,1559,351,245,866,97
464,E01002083,1450,181,380,742,147,1444,220,253,817,154
465,E01002084,1631,270,430,815,116,1767,315,337,946,169
466,E01002085,2182,406,596,1056,124,2260,365,529,1238,128
467,E01002087,1628,247,433,821,127,1719,277,339,993,110
468,E01002014,1723,255,392,1004,72,1634,233,330,946,125
469,E01002015,1480,234,282,836,128,1354,219,185,789,161
470,E01002018,1423,300,221,783,119,1395,314,228,711,142
471,E01033085,1793,271,494,981,47,2426,434,460,1459,73
472,E01033086,1096,229,250,538,79,1268,244,244,681,99
473,E01002020,1567,255,329,871,112,1540,262,231,869,178
474,E01002022,1924,216,436,1124,148,2135,355,300,1223,257
475,E01002023,1470,266,248,815,141,1301,209,172,703,217
476,E01002025,1712,351,290,948,123,1481,271,245,772,193
477,E01002013,1402,268,192,857,85,1332,288,147,771,126
478,E01002019,1308,217,223,760,108,1333,248,158,746,181
479,E01002021,1469,253,237,861,118,1296,206,176,713,201
480,E01002024,1328,255,224,725,124,1224,212,165,717,130
481,E01001998,2078,250,637,1062,129,2203,327,514,1210,152
482,E01001999,2018,276,566,1050,126,2249,352,402,1337,158
483,E01002003,2177,408,656,1035,78,2612,459,685,1352,116
484,E01002004,1904,265,577,936,126,2005,337,412,1142,114
485,E01002067,1695,317,417,863,98,1688,296,284,955,153
486,E01002069,1940,286,484,1021,149,2171,292,433,1266,180
487,E01002070,2042,414,458,1077,93,2586,519,478,1471,118
488,E01002073,1767,374,450,853,90,1804,349,359,995,101
489,E01002066,1838,434,446,882,76,2063,436,432,1084,111
490,E01002068,1839,265,533,933,108,2346,336,530,1379,101
491,E01002071,1617,400,363,770,84,1619,350,323,859,87
492,E01002072,1880,312,572,868,128,2172,336,635,985,216
493,E01002043,2024,415,538,994,77,2193,440,450,1191,112
494,E01002045,2204,446,486,1194,78,2394,452,468,1325,149
495,E01002046,1726,338,379,854,155,1898,299,370,1017,212
496,E01002049,1887,380,496,892,119,1943,350,394,1051,148
497,E01002042,1466,210,371,784,101,1645,209,342,998,96
498,E01002044,1746,223,543,870,110,1865,297,446,1029,93
499,E01002047,1683,194,585,790,114,1754,211,494,948,101
500,E01002048,1973,325,541,973,134,2183,321,435,1308,119
501,E01002016,1955,338,427,1088,102,1709,312,319,976,102
502,E01002017,1828,282,531,945,70,1780,280,424,980,96
503,E01002059,1677,321,359,895,102,1512,261,261,852,138
504,E01002060,1760,292,334,1058,76,1606,280,266,940,120
505,E01002050,1883,700,373,716,94,2022,824,403,710,85
506,E01002051,1690,335,415,856,84,1877,441,375,969,92
507,E01002052,2006,788,376,751,91,2258,931,448,765,114
508,E01002055,1660,593,342,648,77,1801,745,340,643,73
509,E01001994,1785,266,400,927,192,1646,252,285,865,244
510,E01002008,1557,298,192,866,201,1378,278,164,676,260
511,E01002010,1651,284,245,920,202,1528,267,199,801,261
512,E01002011,1723,254,335,1024,110,1556,237,251,921,147
513,E01002000,1709,264,454,880,111,1753,264,347,1025,117
514,E01002001,1679,197,521,870,91,1625,238,386,918,83
515,E01002002,1822,242,582,920,78,1852,219,451,1090,92
516,E01002058,1708,238,553,835,82,1633,234,374,929,96
517,E01002053,1753,352,435,841,125,1878,407,408,921,142
518,E01002054,1736,423,398,831,84,1823,404,358,946,115
519,E01002056,1980,362,530,996,92,2680,462,775,1322,121
520,E01002057,1591,294,485,719,93,1878,242,558,957,121
521,E01001984,1596,214,274,977,131,1702,322,181,1004,195
522,E01001985,1690,297,269,1017,107,1678,332,202,990,154
523,E01001987,1851,299,305,1115,132,1761,341,220,1022,178
524,E01001989,1729,297,307,1001,124,1642,284,245,933,180
525,E01001986,1645,283,303,966,93,1480,265,243,856,116
526,E01001988,1767,275,312,1093,87,1635,259,218,1029,129
527,E01001990,2150,232,672,1179,67,1972,241,416,1215,100
528,E01002062,1870,270,397,1134,69,1827,291,309,1110,117
529,E01002005,1698,210,423,1013,52,1479,246,318,836,79
530,E01002006,1611,199,356,982,74,1490,221,311,848,110
531,E01002007,1677,242,339,904,192,1510,294,267,753,196
532,E01002009,1729,248,436,914,131,1512,233,301,800,178
533,E01002061,1690,248,402,983,57,1584,231,305,931,117
534,E01002063,1593,252,413,863,65,1450,206,300,859,85
535,E01002064,1519,256,385,807,71,1337,186,256,820,75
536,E01002065,1685,166,511,911,97,1619,211,355,948,105
537,E01002034,1853,491,377,892,93,2556,772,404,1282,98
538,E01002038,1655,399,382,766,108,1935,436,358,1012,129
539,E01002041,1890,436,433,864,157,1979,389,361,1028,201
540,E01032575,1914,520,436,879,79,1995,472,386,1009,128
541,E01002755,1333,247,280,703,103,1445,272,298,756,119
542,E01002756,1332,195,293,779,65,1383,240,293,760,90
543,E01002758,1574,347,389,781,57,1811,438,433,846,94
544,E01002804,1660,313,407,872,68,1945,362,499,961,123
545,E01002807,1737,299,494,846,98,1978,276,695,908,99
546,E01002811,1542,336,308,791,107,1641,357,377,776,131
547,E01002753,1434,211,420,715,88,1553,199,446,765,143
548,E01002754,1513,273,347,803,90,1604,285,406,823,90
549,E01002757,1435,304,320,756,55,1534,325,366,737,106
550,E01002759,1640,247,394,849,150,1569,218,398,764,189
551,E01002760,1543,331,376,740,96,1873,429,445,887,112
552,E01002772,1845,272,546,921,106,1960,242,651,954,113
553,E01002735,1647,239,471,855,82,2559,300,987,1153,119
554,E01002805,1583,181,525,801,76,1736,188,553,901,94
555,E01002806,1598,238,393,870,97,1727,264,456,888,119
556,E01002808,1911,280,529,1000,102,2174,337,639,1057,141
557,E01002809,1645,277,483,806,79,1713,259,518,855,81
558,E01002810,1646,311,394,843,98,1760,381,371,889,119
559,E01002768,1598,225,350,885,138,1740,239,347,972,182
560,E01002770,1537,201,404,798,134,1849,243,521,935,150
561,E01002771,1478,246,352,805,75,1509,216,392,798,103
562,E01002773,1383,232,305,684,162,1461,241,324,705,191
563,E01002774,2096,294,597,1075,130,2353,410,580,1214,149
564,E01002732,1847,311,491,932,113,1996,270,547,1044,135
565,E01002734,1686,441,493,681,71,2792,575,1121,1007,89
566,E01002736,1559,351,308,680,220,1672,341,364,722,245
567,E01002737,1947,480,489,870,108,1997,461,564,883,89
568,E01002751,1801,332,481,897,91,2164,490,500,1039,135
569,E01002742,1557,225,380,859,93,1769,294,394,964,117
570,E01002747,1636,233,497,805,101,1949,335,620,886,108
571,E01002748,1471,268,386,751,66,1694,353,398,864,79
572,E01002749,1313,288,320,640,65,1705,364,522,722,97
573,E01033493,1318,71,619,614,14,1899,246,420,1180,53
574,E01033494,1503,206,426,786,85,1753,285,450,906,112
575,E01002730,1791,202,644,846,99,2283,259,863,1044,117
576,E01002731,2466,283,901,1186,96,3657,444,1275,1777,161
577,E01002733,1398,162,466,703,67,1703,234,511,840,118
578,E01002763,1447,146,550,655,96,1779,194,704,760,121
579,E01002769,2053,264,724,955,110,2492,345,1010,982,155
580,E01002785,1947,359,424,1023,141,2045,389,449,1025,182
