,OA code,price,"Price (central estimate, natural log scale)",oa,Unnamed: 0
2301,E00002392,649795.3036393016,13.3844126747969,E00002392,5.927350332339604
2302,E00002393,576219.2463106326,13.2642435032105,E00002393,5.713111624998205
2303,E00002394,593659.8895367624,13.2940618578228,E00002394,5.620811587288266
2304,E00002395,502274.72983279923,13.1269025195592,E00002395,5.501314845952121
2305,E00002396,560594.7788120117,13.2367536040983,E00002396,5.890927590821919
2306,E00002397,569868.3367957233,13.2531606250512,E00002397,5.780831913153331
2307,E00002398,1250496.0644299528,14.0390508820977,E00002398,5.803857503515301
2308,E00002399,479550.51799216034,13.0806045233185,E00002399,5.8506589730580645
2309,E00002400,647516.6453083939,13.3808997792654,E00002400,5.740789122581482
2310,E00002401,639082.1279875812,13.3677882509031,E00002401,6.238081601949839
2311,E00002402,626101.7744695259,13.3472682158925,E00002402,5.889775996024792
2312,E00002403,640166.5335981883,13.3694836302346,E00002403,5.874651064475377
2313,E00002404,555793.1431278918,13.2281514592729,E00002404,5.779567996660869
2314,E00002405,628397.3890456511,13.3509280304308,E00002405,5.832324320619756
2315,E00002406,775205.4585035876,13.5608833809472,E00002406,5.947876045578404
2316,E00002407,641735.9260262785,13.3719321678755,E00002407,5.725302603509691
2317,E00002408,617345.3928660131,13.3331839402095,E00002408,5.8711368322372435
2318,E00002409,706543.4166485305,13.4681399323658,E00002409,5.632980972528458
2319,E00002410,499809.5212947897,13.1219823474112,E00002410,5.851272150874138
2320,E00002411,584889.7929678012,13.2791787203775,E00002411,5.5692024912152975
2321,E00002412,579284.5676741151,13.2695491171202,E00002412,5.811378183818999
2322,E00002413,542430.8556289386,13.2038159012118,E00002413,6.112129059704867
2323,E00002414,753813.5662600936,13.5329003568144,E00002414,5.587460773331778
2324,E00002415,582860.6223486307,13.275703367023,E00002415,5.885835163868391
2325,E00002416,472378.3800382678,13.0655355960393,E00002416,5.393157822745187
2326,E00002417,701928.8914531085,13.461587383651,E00002417,5.892146120468776
2327,E00002418,446616.6437127616,13.0094558852996,E00002418,5.951362662845188
2328,E00002419,709502.7136691925,13.4723196003377,E00002419,5.9554134666919705
2329,E00002420,883609.8175534456,13.6917708613236,E00002420,5.824373086293538
2330,E00002421,533886.9655019941,13.1879394204461,E00002421,5.607649629766291
2331,E00002422,313480.5078273216,12.6554924611327,E00002422,5.687487449645996
2332,E00002423,293762.24660124234,12.5905260341289,E00002423,5.53345681491651
2333,E00002424,347793.67183318996,12.7593646858926,E00002424,5.456490604965775
2334,E00002425,260042.44259847348,12.4686001374387,E00002425,5.018840135097504
2335,E00002426,284653.0702890808,12.5590264205114,E00002426,5.310242540696088
