LSOA11CD,safety,wealth,boring,depressing,lively,walk,beauty,lsoa
E01000001,5.699883186249506,5.729568037532625,4.888857982272193,5.082797950790042,5.6483453818729945,5.3471407197770615,5.272340673492068,E01000001
E01000002,5.6844316032954625,5.588737503460475,4.958838001659938,5.202613090787615,5.709755575316293,5.328248241969518,5.13834817137037,E01000002
E01000003,5.6199522290910995,5.411645919936044,5.138449553080967,5.102403126444135,5.568257577078683,5.2324245657239645,5.106616650308881,E01000003
E01000005,5.669614949593178,5.601113350574787,4.894755321282607,5.063381887093568,5.7284432252248125,5.355895512531966,5.068620206759526,E01000005
E01000006,6.130563659982367,5.488614953481234,5.183533144521189,5.047122714283702,5.62701597056546,5.29197483927339,5.585057634573716,E01000006
E01000007,5.59986849396215,5.2634067314897655,5.3514717713945865,5.355992244847248,5.262024596936441,5.114102265738339,5.017567140518586,E01000007
E01000008,5.53703789899845,5.117489130190103,5.434072843872674,5.276160925921827,5.187518914147179,4.928038004601356,5.005846344598449,E01000008
E01000009,5.927758195361153,5.425083525845261,5.294138178473613,5.188959134406731,5.595412549425344,5.227480561029716,5.379599380688589,E01000009
E01000010,5.7057300875009584,5.2930593160558335,5.193009349925459,5.163448209112341,5.502288276498968,5.205349313818719,5.222847361209964,E01000010
E01000011,6.147141459782918,5.56436821937561,5.047610678672791,4.922755338350932,5.824238735834758,5.364420375823975,5.617337965965271,E01000011
E01000012,5.7058628142535035,5.342606583794395,5.333664849564269,5.227682476515298,5.398082892973345,5.1704962515569,5.145035835412832,E01000012
E01000013,5.834087751461909,5.228188956700839,5.397134666259472,5.2422503508054294,5.575696958028353,5.1730173367720385,5.215524351596832,E01000013
E01000014,5.838097972747607,5.266209608469254,5.45911554648326,5.193572468482531,5.342401414345472,5.215978395480376,5.339615184527177,E01000014
E01000015,6.007898571335267,5.283832903220275,5.411512230044213,5.087327517081644,5.523155727119089,5.399677606386559,5.462692828935998,E01000015
E01000016,5.822747270266215,5.203655152093797,5.451661956688715,5.250505236406175,5.4161326714924405,5.111148856935047,5.104446474521879,E01000016
E01000017,5.875538077236207,5.309492222533739,5.336339157474928,5.15413550700038,5.58252305826865,5.317313688845674,5.280175716423791,E01000017
E01000018,6.0266986882911535,5.382173695654239,5.415274947319391,5.0747769216321545,5.574985599742745,5.437182574901941,5.357530961621483,E01000018
E01000019,5.8325192152067675,5.285981507264366,5.43251764312271,5.195706445117329,5.508850082870602,5.235465625459834,5.19670581540396,E01000019
E01000020,5.913921796506451,5.321986572396371,5.41630069190456,5.137760554590533,5.515346717449926,5.2594826221466064,5.2334207969327124,E01000020
E01000021,5.7429124636527815,5.284432501874418,5.3549732978527365,5.217754054273295,5.50399941053146,5.197944622773391,5.116995585270417,E01000021
E01000022,5.87222413444519,5.21872289943695,5.492277530670166,5.277044632911682,5.376699699401856,5.18059748840332,5.109539549827575,E01000022
E01000023,5.8266138817853985,5.512446890211409,5.341119564262924,5.097190890342566,5.437971816700735,5.239047301043371,5.288479441290448,E01000023
E01000024,5.802547172359798,5.312488124422405,5.467744397080463,5.31545631263567,5.431222166704095,5.028156903774842,5.047866516787073,E01000024
E01000025,5.812105229141515,5.342630077939515,5.541166305541992,5.253184788817659,5.402752333824788,5.133240763200533,5.02999501272079,E01000025
E01000027,5.745198092502583,5.246649126153538,5.656077483532366,5.147675078635341,5.074837883196968,5.167639312156834,5.460958726944462,E01000027
E01000028,5.7131444730256735,5.229420863954645,5.571613441015545,5.264261248237208,5.143800342710395,5.262218037404512,5.127186750110827,E01000028
E01000029,5.887971332910898,5.3767107583381035,5.393191892391926,5.185977500838202,5.319424518379005,5.212102808179082,5.223829125069283,E01000029
E01000030,5.853908700680514,5.312269334946204,5.625950721425748,5.149292109209463,5.183232588505526,5.210851164585954,5.291382665481042,E01000030
E01000031,5.832394883379958,5.398907731205637,5.446116428770777,5.154567779483883,5.407927295579339,5.101864386813432,5.333950252576907,E01000031
E01000032,5.897249061868798,5.4359381850461785,5.365886814105584,5.16041404342059,5.457112980925518,5.088054421525564,5.245291077572366,E01000032
E01000033,5.889344130792925,5.260997527389116,5.4494291236323695,5.12498576025809,5.328873449756253,5.203691641489665,5.17202603560622,E01000033
E01000034,5.970947931452495,5.423547348598155,5.389913074127057,4.987385556465242,5.40977394944284,5.324310630559921,5.423918669543615,E01000034
E01000035,5.577163114914527,5.093075312712254,5.412302511777633,5.282634111551138,5.280333908398946,5.056615661963439,4.982136005010361,E01000035
E01000036,5.895692298731466,5.3209964525042555,5.23707904684262,5.113454073432862,5.442659733802315,5.2633138350614415,5.370156406417606,E01000036
E01000037,5.919374114129601,5.461070927904873,5.350119334895436,5.178271372143815,5.49392045416483,5.297788398294914,5.23180271503402,E01000037
E01000038,5.9584833597069355,5.415311793782818,5.218310247606306,5.123203449284852,5.547133111242038,5.287325036169878,5.266510674312933,E01000038
E01000039,5.837768371022025,5.256384274987287,5.426517734000849,5.054451247287351,5.307772072941758,5.335023604853209,5.48854868772418,E01000039
E01000040,5.830892650225691,5.230072940578897,5.368330031860876,5.210675144923552,5.462603199572963,5.139437132209312,5.089031657189813,E01000040
E01000041,5.999293410449947,5.44959649142869,5.3992072671925255,5.095281265197544,5.488767322050322,5.2703435136637555,5.31554460962978,E01000041
E01000042,5.927495234542423,5.313728305200736,5.49736264679167,5.056206157637967,5.371762444575627,5.244751225743029,5.299019753932953,E01000042
