,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,Education..Skills.and.Training.Score,wealth_resid,outdoor_resid,education_resid
63,64,63,E01000067,0.132,E01000067,5.57808582250737,0.003704367066301,5,1.136,15.99,0.003704367066301,-0.0087595536183774,0.0173197853371832
66,67,66,E01000070,0.11,E01000070,5.60626577760311,0.0017955636423626,5,1.271,14.434,0.0017955636423626,-0.0305854724429935,0.0697694630793586
127,128,127,E01000131,0.116,E01000131,5.609744420758,0.0134802318480752,5,1.139,10.9,0.0134802318480752,-0.0063009610137453,0.0638318887907736
135,136,135,E01000139,0.082,E01000139,5.73451915818654,0.0917541606552927,6,1.181,4.481,0.0917541606552927,0.0529611264685009,0.0369665257096482
181,182,181,E01000186,0.044,E01000186,5.68136995815369,-0.0133665313660888,4,0.963,3.442,-0.0133665313660888,0.066311937446429,0.0683766337657108
194,195,194,E01000199,0.056,E01000199,5.65725828731916,-0.0210661520989744,4,0.784,1.162,-0.0210661520989744,-0.0316547860471156,-0.0113738137670876
251,252,251,E01000256,0.079,E01000256,5.66627391343264,0.0194059033759875,5,0.693,3.474,0.0194059033759875,0.0535614165931337,-0.0372430276646454
266,267,266,E01000271,0.041,E01000271,5.74595467900408,0.047115176958888,6,0.816,2.069,0.047115176958888,-0.0414787176388935,0.0420986159681186
384,385,384,E01000389,0.082,E01000389,5.63012141871345,-0.0126435788177906,4,0.674,11.196,-0.0126435788177906,0.0598163714278908,0.0454063501540486
393,394,393,E01000399,0.047,E01000399,5.64828270030134,-0.042350776693032,4,0.468,20.401,-0.042350776693032,0.0027305736249736,-0.0113239715400844
414,415,414,E01000420,0.073,E01000420,5.63957663143382,-0.015497403673653,4,0.223,22.13,-0.015497403673653,0.0487255230518317,0.008536212570581
430,431,430,E01000436,0.037,E01000436,5.7396605203318,0.0353503349194008,5,0.457,13.009,0.0353503349194008,0.0240217854499423,-0.0019252838898668
434,435,434,E01000440,0.037,E01000440,5.66276612702538,-0.0415440583870233,4,0.146,20.482,-0.0415440583870233,-0.0310988426242907,0.0691928855640341
474,475,474,E01000480,0.072,E01000480,5.62236042900564,-0.0340812769436369,4,1.186,3.875,-0.0340812769436369,0.0362498156445848,0.0367617970315379
495,496,495,E01000503,0.166,E01000503,5.50782378492409,-0.0200568618956627,4,1.247,14.319,-0.0200568618956627,0.0766120902247511,0.0029789111164671
514,515,514,E01000522,0.216,E01000522,5.4218346965313,-0.037662408198277,4,1.11,21.356,-0.037662408198277,0.0556479378912899,-0.0393093483289749
526,527,526,E01000535,0.152,E01000535,5.63491641215875,0.0878883735537532,6,1.576,13.27,0.0878883735537532,-0.0388591855194151,-0.0379007152203429
529,530,529,E01000539,0.058,E01000539,5.71516835950587,0.0395792617713396,5,0.908,2.877,0.0395792617713396,0.0066351651276665,0.0567041386322738
581,582,581,E01000592,0.124,E01000592,5.54444169998169,-0.0408811221938072,4,1.081,11.714,-0.0408811221938072,-0.0033742461052564,0.0715980653923927
666,667,666,E01000681,0.014,E01000681,5.79198697143131,0.056220356657424,6,0.221,4.971,0.056220356657424,-0.0195756600971634,-0.0098796956274314
781,782,781,E01000797,0.055,E01000797,5.65582815386214,-0.0238639563977968,4,1.028,2.98,-0.0238639563977968,-0.0137932866618753,-0.0045620413258139
785,786,785,E01000801,0.115,E01000801,5.66627814553001,0.0686462857782785,6,0.955,13.786,0.0686462857782785,0.0672484693055363,0.0624468946413556
802,803,802,E01000819,0.194,E01000819,5.51846932022421,0.0288834569749622,5,0.763,16.0,0.0288834569749622,0.0411930842780276,0.0395672562859074
