,lsoa,popden2011,popden2021
526,E01002753,175.6,178.571
527,E01002754,122.5,125.833
528,E01002757,157.5,159.231
529,E01002759,154.9,141.35299999999998
530,E01002760,170.7,191.4
531,E01002772,177.7,181.774
532,E01002735,151.8,272.878
533,E01002805,122.5,111.95299999999999
534,E01002806,142.5,147.359
535,E01002808,145.4,145.808
536,E01002809,184.5,191.00099999999998
537,E01002810,200,211.622
538,E01002768,154.7,155.352
539,E01002770,73.5,87.684
540,E01002771,123.8,128.989
541,E01002773,143.5,170.46599999999998
542,E01002774,118.1,119.899
543,E01002732,136.2,133.26
544,E01002734,143.6,200.84900000000002
545,E01002736,215.8,201.77599999999998
546,E01002737,254.5,253.18599999999998
547,E01002751,230.8,237.646
548,E01002742,146.2,187.09099999999998
549,E01002747,159.2,151.607
550,E01002748,103.8,117.056
551,E01002749,158.2,183.173
552,E01033493,359.4,362.707
553,E01033494,140.5,143.90200000000002
554,E01002730,126.2,124.32600000000001
555,E01002733,156.6,162.317
556,E01002763,145.6,131.915
557,E01002769,95.5,86.37799999999999
558,E01002785,138.4,130.894
559,E01002788,151,148.613
560,E01002789,140.2,138.145
561,E01002738,69.9,73.393
562,E01002741,142.2,144.079
563,E01002743,171.8,156.893
564,E01002744,145.7,132.626
565,E01002752,168.7,179.71200000000002
566,E01002764,134.2,136.953
567,E01002783,151.4,172.86599999999999
568,E01002784,138.8,135.626
569,E01002786,165.9,178.217
570,E01002787,146.1,132.642
571,E01002762,121.7,117.0
572,E01002767,171.9,180.99200000000002
573,E01033486,155.3,155.405
574,E01033487,502.5,491.39300000000003
575,E01033488,119.8,163.519
576,E01033491,89.6,103.04299999999999
577,E01002777,138,142.203
578,E01002778,170.2,184.762
579,E01002779,171.1,158.409
580,E01002781,148,190.78900000000002
581,E01002782,174,162.543
582,E01002739,156.3,156.77700000000002
583,E01002740,82.3,101.84700000000001
584,E01002745,137.5,132.334
585,E01002795,113.4,109.751
586,E01002796,133.4,142.179
587,E01002716,176.1,172.915
588,E01002718,167.4,158.972
589,E01002721,137.5,134.901
590,E01002775,120.8,118.919
591,E01002776,143.3,160.39700000000002
592,E01002780,207.6,215.063
593,E01002708,58.7,62.70399999999999
594,E01002712,155.1,119.93
595,E01002713,108.8,196.36900000000003
596,E01002765,147.1,167.174
597,E01002766,131.2,159.47299999999998
598,E01002717,105.7,97.104
599,E01002719,102.1,102.193
600,E01002720,230.6,209.16299999999998
601,E01002790,181.9,178.96099999999998
602,E01002791,107.6,129.958
603,E01002793,178.7,173.077
604,E01002698,187.4,185.377
605,E01002699,164.7,162.295
606,E01002700,82.2,76.529
607,E01002714,148.3,134.528
608,E01002792,177.5,175.047
609,E01002722,153.9,170.484
610,E01002797,171.7,167.801
611,E01002798,142.4,142.744
612,E01002799,217.4,225.532
613,E01002800,128.9,213.13299999999998
614,E01002694,217.9,237.518
615,E01002697,188.5,176.64
616,E01002709,219,210.612
617,E01002710,120.5,114.95299999999999
618,E01002715,261.4,291.522
619,E01002696,122.5,117.961
620,E01002794,97.7,112.95700000000001
621,E01002801,145.1,136.44899999999998
622,E01002802,134.7,170.75599999999997
623,E01002695,144.5,124.40899999999999
624,E01002711,128.1,134.016
625,E01002727,140.2,130.743
626,E01002728,179.7,144.725
627,E01002729,121,113.75399999999999
628,E01002707,145.2,153.283
629,E01002723,149.2,160.0
630,E01002724,74.7,72.84100000000001
631,E01002725,236.7,222.787
632,E01002726,100.4,101.42299999999999
633,E01033489,194.1,154.497
634,E01033490,141,116.486
635,E01002701,190.8,177.322
636,E01002702,169.1,213.12599999999998
637,E01002703,189.9,272.209
638,E01002704,65.6,70.307
639,E01002706,148,149.63299999999998
640,E01002852,37.2,43.096000000000004
641,E01002853,172.4,224.882
642,E01002854,87.2,85.837
643,E01002855,163.2,150.33100000000002
644,E01002857,224.8,229.333
645,E01002904,118,130.282
646,E01002905,93.1,99.228
647,E01002906,86.8,90.449
648,E01002907,264.6,246.641
649,E01002876,138.8,146.795
650,E01002877,101.8,130.197
651,E01002878,133.4,118.509
652,E01002908,144.3,144.606
653,E01002909,216.9,214.602
654,E01002829,252.8,240.657
655,E01002830,238.3,231.40900000000002
656,E01002831,179.2,155.757
657,E01002832,225,215.873
658,E01002856,223.1,183.56900000000002
659,E01002870,109.7,126.02799999999999
660,E01002872,149.4,139.112
661,E01002879,179.8,228.94099999999997
662,E01002880,238.4,177.364
663,E01002881,238.6,232.253
664,E01002882,112.8,88.419
665,E01002883,158.7,127.571
666,E01002884,182.4,179.74
667,E01002885,284.8,244.074
668,E01002886,125.9,107.48
669,E01002833,201.7,167.127
670,E01002871,128.9,112.021
671,E01002873,102.4,104.69200000000001
672,E01002874,173.6,136.791
673,E01002875,86.9,78.898
674,E01002824,100.5,81.445
675,E01002825,101.3,93.01700000000001
676,E01002826,70.5,57.091
677,E01002827,72.6,67.867
678,E01002828,138.6,123.725
679,E01002864,50.5,49.949
680,E01002866,110.8,116.16
681,E01002867,187.1,158.64
682,E01002868,67.2,54.97
683,E01002869,148.6,171.59799999999998
684,E01002887,182.2,135.761
685,E01002889,106.9,130.705
686,E01002890,115.6,88.988
687,E01002891,146.4,119.838
688,E01002892,249.8,175.989
689,E01002813,159.6,134.056
690,E01002815,222.5,181.40599999999998
691,E01002816,228.1,177.778
692,E01002817,101.3,85.569
693,E01002865,105.6,110.695
694,E01002818,105.9,73.242
695,E01002819,74,50.746
696,E01002859,127,97.50200000000001
697,E01002860,135.1,102.87799999999999
698,E01002863,116,89.936
699,E01002812,210,164.403
700,E01002834,229.9,199.518
701,E01002839,248.5,244.28599999999997
702,E01002850,194.5,188.338
703,E01002888,261.1,196.231
704,E01002821,74.6,56.463
705,E01002823,170.3,152.239
706,E01002858,213.3,225.0
707,E01002861,165,145.708
708,E01002862,351.5,247.5
709,E01002814,133.7,152.531
710,E01002847,221.8,192.93599999999998
711,E01002848,191.5,152.561
712,E01002851,272.3,222.25900000000001
713,E01002835,103.2,93.87899999999999
714,E01002836,192.5,181.18900000000002
715,E01002837,211.4,161.017
716,E01002846,124.5,122.18
717,E01002849,235,237.59599999999998
718,E01002893,181.1,160.816
719,E01002894,137.9,130.246
720,E01002898,125.4,129.93
721,E01002899,181.9,167.517
722,E01002900,112.2,131.415
