,lsoa,price,hierarchical8x,hierarchical13x,hierarchical24x
148,E01000153,223150.14676847123,,,
149,E01000154,191750.9437844155,,,
150,E01000155,233590.1152155398,3.0,3.0,11.0
151,E01000156,428463.5838677244,3.0,9.0,12.0
152,E01000157,341165.8821316279,3.0,9.0,12.0
153,E01000158,318380.5543130312,3.0,,
154,E01000159,319396.00217560417,3.0,,
155,E01000160,386953.73923850775,,,
156,E01000161,357406.97624954913,3.0,3.0,11.0
157,E01000162,314218.76024260384,3.0,3.0,11.0
158,E01000163,292106.12830300524,3.0,4.0,5.0
159,E01000164,288299.6949871563,3.0,4.0,5.0
160,E01000165,287528.15529791045,3.0,4.0,5.0
161,E01000166,304905.80791284336,3.0,3.0,11.0
162,E01000167,289547.1547739289,3.0,3.0,11.0
163,E01000168,339895.1459382739,3.0,9.0,12.0
164,E01000169,290637.5700291022,3.0,9.0,12.0
165,E01000170,286575.0608829046,3.0,9.0,12.0
166,E01000171,265084.326808396,6.0,10.0,15.0
167,E01000172,323874.31600924494,3.0,3.0,11.0
168,E01000173,286660.8856002291,3.0,9.0,12.0
169,E01000174,271442.39771481993,6.0,10.0,15.0
170,E01000175,299760.41004171106,3.0,3.0,11.0
171,E01000176,328994.0126368386,3.0,4.0,5.0
172,E01000177,437000.1954280782,,,
173,E01000178,453085.8086602185,,,
174,E01000179,404142.29322320846,3.0,3.0,4.0
175,E01000180,431926.72806943743,3.0,3.0,11.0
176,E01000181,508302.21857250005,5.0,6.0,7.0
177,E01000182,479874.31613167224,3.0,3.0,
178,E01000183,463004.5900540872,3.0,3.0,11.0
179,E01000184,295952.41791844956,,,
180,E01000185,325161.6064825009,,,
181,E01000186,333826.25999114907,3.0,3.0,11.0
182,E01000187,284449.97064438846,3.0,3.0,11.0
183,E01000188,366758.1302259917,7.0,11.0,16.0
184,E01000189,327471.9419455992,4.0,5.0,
185,E01000190,310585.9893722517,3.0,3.0,11.0
186,E01000191,343698.2666844673,3.0,3.0,11.0
187,E01000192,325494.91832279146,3.0,3.0,11.0
188,E01000193,308467.6986611598,3.0,,
189,E01000194,266328.265975027,3.0,3.0,11.0
190,E01000195,209008.13905962292,,,
191,E01000196,448152.3555971063,3.0,3.0,11.0
192,E01000197,400542.9671830532,3.0,3.0,11.0
193,E01000198,362319.5917637,3.0,,
194,E01000199,473288.3122171577,3.0,3.0,11.0
195,E01000200,478998.62700359913,3.0,3.0,11.0
196,E01000201,605887.7878976616,3.0,9.0,12.0
197,E01000202,482872.82966757054,3.0,9.0,12.0
198,E01000203,413934.0150819238,3.0,,
199,E01000204,482485.26750538626,3.0,3.0,11.0
200,E01000205,463801.16268636344,3.0,9.0,12.0
201,E01000206,1586832.9228727836,3.0,4.0,5.0
202,E01000207,675953.1447212371,3.0,3.0,11.0
203,E01000208,612799.2297037704,3.0,3.0,11.0
204,E01000209,546667.415710384,3.0,9.0,12.0
205,E01000210,507728.7434359162,,,
206,E01000211,420387.6246222015,3.0,3.0,11.0
207,E01000212,682084.6279797894,3.0,,
208,E01000213,1024006.5427514832,3.0,3.0,11.0
209,E01000214,578008.796162321,3.0,3.0,11.0
210,E01000215,437803.39017358783,3.0,,
211,E01000216,489087.547677485,3.0,9.0,12.0
212,E01000217,505158.65568401874,3.0,9.0,12.0
213,E01000218,475801.59479371377,3.0,9.0,12.0
214,E01000219,407438.91993368993,3.0,3.0,11.0
215,E01000220,407796.7527907201,3.0,9.0,12.0
216,E01000221,264967.8199199048,4.0,5.0,6.0
217,E01000222,289792.71335826546,3.0,3.0,11.0
218,E01000223,278544.64370872796,3.0,4.0,5.0
219,E01000224,316124.69504956645,3.0,9.0,12.0
220,E01000225,526968.656508393,3.0,,
221,E01000226,211243.66776994723,3.0,3.0,11.0
222,E01000227,275870.1746554104,3.0,3.0,11.0
223,E01000228,384580.3466263571,7.0,11.0,16.0
224,E01000229,252683.9791678397,3.0,,
225,E01000230,296559.53527856304,3.0,3.0,11.0
226,E01000231,279153.18809859746,3.0,4.0,5.0
227,E01000232,305703.2783580471,3.0,3.0,11.0
228,E01000233,313973.6219552335,3.0,3.0,11.0
229,E01000234,359257.41505467996,3.0,,
230,E01000235,263234.7760526579,3.0,,
231,E01000236,437272.85720224277,3.0,3.0,11.0
232,E01000237,422242.9952306552,3.0,3.0,11.0
233,E01000238,344531.4694401644,3.0,9.0,12.0
234,E01000239,289943.9977113915,,,
235,E01000240,301402.2638278026,,,
236,E01000241,394819.3695435962,3.0,9.0,12.0
237,E01000242,524142.37362172117,3.0,,
238,E01000243,356257.4029266006,6.0,10.0,15.0
239,E01000244,329335.5257042905,3.0,3.0,11.0
240,E01000245,317966.5088731988,,,
241,E01000246,317022.799141438,3.0,4.0,5.0
242,E01000247,299433.9619356521,3.0,9.0,12.0
243,E01000248,357593.85059780616,6.0,10.0,15.0
244,E01000249,355443.43179704936,3.0,3.0,11.0
245,E01000250,323413.861809279,3.0,3.0,11.0
246,E01000251,293619.9819285336,3.0,3.0,11.0
247,E01000252,321677.0007136955,3.0,9.0,12.0
248,E01000253,471196.35624517483,7.0,11.0,16.0
249,E01000254,363573.21000566834,7.0,11.0,19.0
250,E01000255,337598.3853077856,,,
251,E01000256,358583.6124067673,3.0,4.0,5.0
252,E01000257,291916.2933434045,3.0,4.0,5.0
253,E01000258,383354.7711373197,3.0,4.0,5.0
254,E01000259,311547.83018232754,3.0,,
255,E01000260,287610.46859553474,,,
256,E01000261,448468.40681155416,3.0,4.0,5.0
257,E01000262,363165.1934160358,,,
258,E01000263,482247.6454949507,3.0,3.0,11.0
259,E01000264,357968.51193696854,3.0,3.0,11.0
260,E01000265,306445.04799391184,3.0,,
261,E01000266,398963.8712749473,3.0,3.0,11.0
262,E01000267,316300.6463434919,3.0,9.0,12.0
263,E01000268,339847.8874434056,3.0,3.0,11.0
264,E01000269,315578.19620470214,3.0,3.0,11.0
265,E01000270,346683.847120406,3.0,,
266,E01000271,354974.444719573,3.0,3.0,11.0
267,E01000272,482063.1986601595,3.0,,
268,E01000273,368619.28379333846,3.0,3.0,11.0
269,E01000274,292730.3552073304,3.0,9.0,12.0
270,E01000275,387787.3609045234,3.0,3.0,11.0
271,E01000276,432314.67048787023,3.0,9.0,12.0
272,E01000277,371449.6741266575,3.0,9.0,12.0
273,E01000278,418513.2654175269,3.0,,
274,E01000279,694373.3996634848,7.0,11.0,16.0
275,E01000280,504703.23744917754,3.0,3.0,11.0
276,E01000281,289590.6390838158,,,
277,E01000282,371534.7446473065,3.0,,
278,E01000283,461944.7488560306,3.0,3.0,11.0
279,E01000284,351004.41247468063,3.0,3.0,11.0
280,E01000285,278751.8204521509,3.0,9.0,12.0
281,E01000286,254759.4558948543,3.0,,
282,E01000287,261662.85214695497,3.0,3.0,11.0
283,E01000288,281851.46635484166,3.0,3.0,11.0
284,E01000289,211362.25549518046,3.0,,
285,E01000290,359273.785396036,7.0,11.0,16.0
286,E01000291,288680.45366806886,3.0,3.0,11.0
287,E01000292,333090.0576198298,3.0,,
288,E01000293,338115.09634441446,3.0,9.0,12.0
289,E01000294,317070.4746768539,3.0,3.0,11.0
290,E01000295,445409.35888714914,3.0,9.0,12.0
291,E01000296,408001.9934829247,3.0,3.0,11.0
292,E01000297,341776.0748377894,3.0,3.0,4.0
293,E01000298,406725.7521617448,3.0,3.0,11.0
294,E01000299,326859.56819103874,5.0,6.0,7.0
295,E01000300,374215.55413422314,3.0,3.0,4.0
296,E01000301,408496.9826281616,3.0,9.0,12.0
297,E01000302,368430.8377588571,3.0,3.0,11.0
298,E01000303,415715.90003093274,3.0,9.0,12.0
299,E01000304,419170.45684708655,3.0,3.0,4.0
300,E01000305,239977.9078640477,3.0,4.0,5.0
301,E01000306,306410.47394047066,,,
302,E01000307,269254.8132073445,4.0,5.0,
303,E01000308,236039.79163310246,3.0,4.0,5.0
304,E01000309,368058.6571056739,3.0,3.0,11.0
305,E01000310,309109.99078632175,3.0,3.0,11.0
306,E01000311,419642.03879467514,3.0,,
307,E01000312,231080.55978582645,3.0,9.0,12.0
308,E01000313,283924.5558422475,,,
309,E01000314,386192.89153898123,3.0,,
310,E01000315,268196.93772989296,3.0,4.0,5.0
311,E01000316,370956.01190341305,3.0,4.0,5.0
312,E01000317,395758.0912704511,3.0,9.0,12.0
313,E01000318,363951.8295870023,3.0,9.0,12.0
314,E01000319,379656.5832264582,3.0,9.0,12.0
315,E01000320,365164.21472290397,3.0,9.0,12.0
316,E01000321,365036.2161945548,3.0,3.0,11.0
317,E01000322,354713.4810366521,3.0,,
318,E01000323,352364.9341273469,3.0,3.0,11.0
319,E01000324,334300.4257323751,3.0,9.0,12.0
320,E01000325,242685.363232915,3.0,9.0,12.0
321,E01000326,189744.78219651277,3.0,9.0,12.0
322,E01000327,232600.02011883594,3.0,3.0,11.0
323,E01000328,215854.50206825772,3.0,9.0,12.0
324,E01000329,214905.64612802566,3.0,3.0,11.0
325,E01000330,211080.09183581415,3.0,3.0,11.0
326,E01000331,204415.77085307465,3.0,4.0,5.0
327,E01000332,200201.78274935196,3.0,3.0,11.0
328,E01000333,203463.25715808733,3.0,3.0,11.0
329,E01000334,204328.0636977836,3.0,3.0,11.0
330,E01000335,174750.3557892485,,,
331,E01000336,188546.13306543723,6.0,10.0,15.0
332,E01000337,193565.34109362974,3.0,3.0,11.0
333,E01000338,191576.40190753413,3.0,3.0,4.0
334,E01000339,242277.37869677026,3.0,3.0,11.0
335,E01000340,222405.9927452122,3.0,9.0,12.0
336,E01000341,231873.08897284543,3.0,9.0,12.0
337,E01000342,221997.84817840686,3.0,,
338,E01000343,243396.9305027946,3.0,3.0,11.0
339,E01000344,243208.5862455605,3.0,9.0,12.0
340,E01000345,248565.77745061318,,,
341,E01000346,229476.30673619872,3.0,3.0,11.0
342,E01000347,216668.8400531939,3.0,9.0,12.0
343,E01000348,273948.8772842951,3.0,9.0,12.0
344,E01000349,244805.34841730347,3.0,3.0,11.0
345,E01000350,255181.8773376665,3.0,3.0,11.0
346,E01000351,230460.7616800798,3.0,,
347,E01000352,234354.47907351592,,,
348,E01000353,236846.39228217327,3.0,,
349,E01000354,224143.61828826778,3.0,,
350,E01000355,230108.5786600268,3.0,3.0,11.0
351,E01000356,241871.34522443585,3.0,,
352,E01000357,243690.1119132933,3.0,9.0,12.0
353,E01000358,255722.20173694723,3.0,,
354,E01000359,242547.65803786402,3.0,3.0,11.0
355,E01000360,223955.58775383202,6.0,10.0,15.0
356,E01000361,223743.4367640662,3.0,,
357,E01000362,240857.1840482109,3.0,3.0,11.0
358,E01000363,246540.85236994078,3.0,,
359,E01000364,237063.97632283825,3.0,4.0,5.0
360,E01000365,235664.08320306987,3.0,3.0,11.0
361,E01000366,224525.33524742257,3.0,9.0,12.0
362,E01000367,164281.17180628653,3.0,3.0,11.0
363,E01000368,179448.0153077423,3.0,,
364,E01000369,200609.77865889613,3.0,9.0,12.0
365,E01000370,216162.291825098,3.0,,
366,E01000371,207894.84107555915,3.0,9.0,12.0
367,E01000372,185993.8851344497,3.0,3.0,11.0
368,E01000373,167036.223784009,6.0,10.0,15.0
369,E01000374,173201.78489618414,,,
370,E01000375,195257.10385582614,3.0,3.0,11.0
371,E01000376,186095.64834722364,3.0,3.0,11.0
372,E01000377,205314.84840283525,3.0,4.0,5.0
373,E01000378,214735.975418356,3.0,,
374,E01000379,196358.735004775,3.0,3.0,11.0
375,E01000380,190889.94683366478,3.0,,
376,E01000381,247240.2700659212,7.0,11.0,16.0
377,E01000382,278662.10923793766,3.0,3.0,11.0
378,E01000383,237308.33317636402,3.0,4.0,5.0
379,E01000384,233478.0783205554,3.0,3.0,4.0
380,E01000385,201177.55412731058,3.0,,
381,E01000386,215151.68091986032,7.0,11.0,16.0
382,E01000387,237897.46025359668,,,
383,E01000388,224168.58353527877,3.0,9.0,12.0
384,E01000389,254636.60785276032,3.0,3.0,11.0
385,E01000390,236732.05992142396,,,
386,E01000391,205677.71177486112,3.0,,
387,E01000392,221546.65553523088,3.0,3.0,11.0
388,E01000393,220424.9251944914,3.0,3.0,11.0
389,E01000394,237821.4642124789,3.0,,
390,E01000395,239563.27446899452,3.0,,
391,E01000396,229529.44922958326,3.0,3.0,11.0
392,E01000398,204270.3476035834,3.0,,
393,E01000399,238660.82338236374,3.0,3.0,11.0
394,E01000400,223278.32510922416,3.0,9.0,12.0
395,E01000401,217375.26379758288,3.0,,
396,E01000402,196923.6307994503,3.0,4.0,5.0
397,E01000403,194228.67255197442,4.0,5.0,14.0
398,E01000404,180008.4820929334,3.0,4.0,5.0
399,E01000405,171932.38628253783,,,
400,E01000406,179751.63241092986,6.0,10.0,15.0
401,E01000407,215583.09157746317,3.0,3.0,11.0
402,E01000408,178175.61419354615,7.0,11.0,19.0
403,E01000409,226875.79558819463,3.0,9.0,12.0
404,E01000410,223067.91531878622,3.0,9.0,12.0
405,E01000411,220611.59600601066,3.0,9.0,12.0
406,E01000412,219073.56300683034,3.0,3.0,11.0
407,E01000413,206263.18457906088,3.0,3.0,11.0
408,E01000414,217911.45005507008,3.0,3.0,11.0
409,E01000415,242368.88316058004,3.0,9.0,12.0
410,E01000416,179917.97489749832,3.0,,
411,E01000417,230257.9150595228,3.0,4.0,5.0
412,E01000418,203662.48069685814,3.0,3.0,11.0
413,E01000419,224350.08990638313,3.0,,
414,E01000420,216635.2705703442,3.0,3.0,11.0
415,E01000421,234828.70078203385,3.0,3.0,11.0
416,E01000422,134981.03372122516,4.0,5.0,6.0
417,E01000423,274449.91382963175,3.0,3.0,11.0
418,E01000424,297307.1331588367,3.0,3.0,11.0
419,E01000425,273825.1468706921,3.0,,
420,E01000426,246391.38171780066,3.0,4.0,5.0
421,E01000427,257152.25876715308,3.0,3.0,11.0
422,E01000428,249394.79172753927,7.0,11.0,16.0
423,E01000429,156161.95758575713,3.0,,
424,E01000430,180868.854053111,3.0,4.0,5.0
425,E01000431,167690.56767762086,3.0,3.0,11.0
426,E01000432,175713.8166246945,3.0,3.0,11.0
427,E01000433,169751.19466238833,3.0,3.0,11.0
428,E01000434,166730.33278125036,3.0,,
429,E01000435,181256.0607322867,3.0,3.0,11.0
430,E01000436,236276.3897501211,3.0,3.0,11.0
431,E01000437,201244.35648277708,3.0,9.0,12.0
432,E01000438,187920.3293665219,3.0,3.0,4.0
433,E01000439,185377.6755866238,3.0,3.0,11.0
434,E01000440,220968.01024771633,3.0,,
435,E01000441,188258.18023302284,3.0,3.0,11.0
436,E01000442,216279.37735766947,3.0,3.0,11.0
437,E01000443,236623.20310343002,3.0,3.0,11.0
438,E01000444,290469.6245598368,3.0,4.0,5.0
439,E01000445,258724.66277888796,3.0,3.0,11.0
440,E01000446,227641.04108289452,3.0,9.0,12.0
441,E01000447,260202.15436377254,3.0,4.0,5.0
442,E01000448,295944.6158172105,3.0,3.0,11.0
443,E01000449,318587.0168044621,3.0,3.0,11.0
444,E01000450,223145.72508546937,3.0,,
445,E01000451,210930.24879187113,3.0,9.0,12.0
446,E01000452,222560.2617470388,3.0,9.0,12.0
447,E01000453,225876.43506986924,3.0,9.0,12.0
448,E01000454,211918.81452355534,3.0,9.0,12.0
449,E01000455,215471.4258719602,3.0,9.0,12.0
450,E01000456,216401.36983302186,3.0,9.0,12.0
451,E01000457,256285.63000934976,3.0,3.0,11.0
452,E01000458,293914.2384399386,3.0,3.0,11.0
453,E01000459,302944.3891173464,3.0,3.0,11.0
454,E01000460,300407.3353722885,3.0,9.0,12.0
455,E01000461,259486.15303758398,3.0,3.0,11.0
456,E01000462,250190.34104536878,3.0,3.0,11.0
457,E01000463,240394.4148979009,3.0,9.0,12.0
458,E01000464,139424.45788233893,,,
459,E01000465,171003.40599794962,4.0,5.0,6.0
460,E01000466,138422.43604211422,7.0,11.0,16.0
461,E01000467,174627.2568986051,3.0,4.0,5.0
462,E01000468,172733.7335729963,3.0,3.0,11.0
463,E01000469,171647.29063635334,,,
464,E01000470,133440.43875017893,7.0,11.0,16.0
465,E01000471,222173.07493317744,3.0,9.0,12.0
466,E01000472,265938.4162261563,3.0,4.0,5.0
467,E01000473,271931.97038333863,,,
468,E01000474,265099.6862662097,3.0,9.0,12.0
469,E01000475,262107.74433318726,3.0,4.0,5.0
470,E01000476,254401.6680638176,3.0,9.0,12.0
471,E01000477,243060.54471131047,3.0,,
472,E01000478,277744.470342687,3.0,9.0,12.0
473,E01000479,343023.9800615995,4.0,5.0,13.0
474,E01000480,321029.63040162064,3.0,3.0,11.0
475,E01000481,305782.2586906198,3.0,4.0,5.0
476,E01000482,276832.64916064485,4.0,5.0,14.0
477,E01000483,234941.19018796008,4.0,5.0,14.0
478,E01000484,252194.3544159885,3.0,,
479,E01000485,270734.16187506786,3.0,3.0,11.0
480,E01000486,300672.6635117147,3.0,3.0,11.0
481,E01000487,317001.73240901204,3.0,3.0,11.0
482,E01000488,532161.338060873,3.0,,
483,E01000489,595388.542658745,3.0,3.0,11.0
484,E01000490,617208.7161716309,6.0,10.0,15.0
485,E01000491,933735.2819799926,3.0,3.0,11.0
486,E01000492,638854.973783459,3.0,9.0,12.0
487,E01000493,619595.0971099302,3.0,,
488,E01000494,668191.9036851458,,,
489,E01000495,578698.0359977583,,,
490,E01000497,304745.02584060765,3.0,9.0,12.0
491,E01000498,272525.58903963055,3.0,3.0,11.0
492,E01000499,280078.8252629938,3.0,,
493,E01000501,297505.16852800216,,,
494,E01000502,323068.5295893328,3.0,3.0,11.0
495,E01000503,314285.7914505886,3.0,9.0,12.0
496,E01000504,508308.9044962505,3.0,3.0,4.0
497,E01000505,446617.4479162633,3.0,9.0,12.0
498,E01000506,308426.92383135745,3.0,3.0,11.0
499,E01000507,412275.7976731496,3.0,9.0,12.0
500,E01000508,289992.3473145336,,,
501,E01000509,284927.17753390124,3.0,9.0,12.0
502,E01000510,320159.31505795714,3.0,3.0,11.0
503,E01000511,344723.58943691733,3.0,,
504,E01000512,407923.07334032835,3.0,3.0,4.0
505,E01000513,289076.63221868814,3.0,9.0,12.0
506,E01000514,272896.9349313879,3.0,9.0,12.0
507,E01000515,265150.8327428405,4.0,5.0,14.0
508,E01000516,266532.31754284893,3.0,,
509,E01000517,308826.6977655604,3.0,3.0,11.0
510,E01000518,279861.3605508263,3.0,3.0,11.0
511,E01000519,284274.16014291486,3.0,4.0,5.0
512,E01000520,277611.4594373394,3.0,3.0,11.0
513,E01000521,323333.6806146523,5.0,6.0,7.0
514,E01000522,340260.5440434515,6.0,10.0,15.0
515,E01000523,363269.31170565385,5.0,6.0,7.0
516,E01000524,326811.6591631368,5.0,6.0,7.0
517,E01000525,352636.79878041975,5.0,6.0,7.0
518,E01000526,277839.75518412824,,,
519,E01000527,311319.46267834917,5.0,,
520,E01000528,280532.79263559595,5.0,6.0,7.0
521,E01000530,578633.44761036,3.0,9.0,12.0
522,E01000531,547698.4618170409,5.0,,
523,E01000532,520511.2452518485,5.0,6.0,7.0
524,E01000533,398883.50837601477,5.0,6.0,7.0
525,E01000534,530183.8970958267,3.0,,
526,E01000535,448855.59054597386,3.0,3.0,4.0
527,E01000536,334804.01265812526,3.0,,
528,E01000538,339531.5302403355,3.0,,
529,E01000539,307151.63987076853,3.0,3.0,11.0
530,E01000540,319409.4669960479,3.0,,
531,E01000541,284030.88530310604,3.0,3.0,11.0
532,E01000543,279092.85406003956,3.0,3.0,11.0
533,E01000544,419028.91772371915,,,
534,E01000545,596160.033461423,,,
535,E01000546,597441.3982080093,5.0,6.0,7.0
536,E01000547,545387.2930096894,5.0,8.0,9.0
537,E01000548,487004.19146753114,,,
538,E01000549,668369.9431318779,5.0,,
539,E01000550,521264.6269219394,,,
540,E01000551,431801.08591597195,,,
541,E01000552,378947.39522361255,1.0,,
542,E01000553,417070.81012546853,5.0,6.0,7.0
543,E01000554,386572.6915528473,5.0,6.0,7.0
544,E01000555,496784.9227226901,3.0,,
545,E01000556,424259.3461894997,5.0,6.0,7.0
546,E01000557,439268.6570705393,3.0,3.0,4.0
547,E01000558,648064.1271660507,3.0,,
548,E01000559,579934.0333908958,3.0,3.0,4.0
549,E01000560,685159.8200281532,3.0,9.0,12.0
550,E01000561,573584.1792533087,3.0,3.0,11.0
551,E01000562,351193.4626392474,4.0,5.0,13.0
552,E01000563,322869.87923173147,3.0,3.0,11.0
553,E01000564,258497.47388728082,3.0,3.0,11.0
554,E01000565,292971.70825407055,3.0,,
555,E01000566,298305.0731464781,3.0,9.0,12.0
556,E01000567,292253.03699897946,3.0,,
