,2011,2018,2021,roads,oa11cd
0,0.25,0.75,0.5,1.0,E00000001
1,,,,,E00000003
2,,1.0,1.0,1.0,E00000005
3,0.6907216494845361,0.6082474226804123,0.8144329896907216,1.0,E00000007
4,,,,,E00000010
5,,,,1.0,E00000012
6,0.7142857142857143,,1.0,1.0,E00000013
7,,,,,E00000014
8,0.625,0.75,0.5,1.0,E00000016
9,0.5,0.625,0.8125,1.0,E00000017
10,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,E00000018
11,0.3888888888888889,0.7222222222222222,0.9444444444444444,1.0,E00000019
12,,,0.8333333333333334,1.0,E00000020
13,0.6118421052631579,0.6513157894736842,0.8618421052631579,1.0,E00000021
14,,,,1.0,E00000022
15,0.5,0.6666666666666666,1.1666666666666667,1.0,E00000023
16,0.6430517711171662,0.5286103542234333,0.7956403269754768,1.0,E00000024
17,0.7276422764227642,0.6382113821138211,0.8211382113821138,1.0,E00000025
18,0.7706093189964157,0.5985663082437276,0.8853046594982079,1.0,E00000026
19,0.72,0.61,0.9,1.0,E00000027
20,0.8732394366197183,1.056338028169014,1.1267605633802817,1.0,E00000028
21,0.6763285024154589,0.48792270531400966,0.7874396135265701,1.0,E00000029
22,0.6944444444444444,0.7777777777777778,0.7222222222222222,1.0,E00000030
23,,,,,E00000031
24,0.3333333333333333,,0.8333333333333334,1.0,E00000032
25,0.7458432304038005,0.5581947743467933,0.8028503562945368,1.0,E00000035
26,0.8823529411764706,0.8823529411764706,0.7647058823529411,1.0,E00000037
27,1.0,1.0,1.1904761904761905,1.0,E00000038
28,0.875,1.0,0.875,1.0,E00000039
29,1.0238095238095237,0.7142857142857143,1.0,1.0,E00000040
30,0.7045454545454546,0.7727272727272727,0.8181818181818182,1.0,E00000041
31,0.6296296296296297,0.3333333333333333,0.6666666666666666,1.0,E00000042
32,0.8571428571428571,0.14285714285714285,1.0,1.0,E00000043
33,0.7222222222222222,1.0,0.7777777777777778,1.0,E00000045
34,0.5925925925925926,0.6296296296296297,0.6666666666666666,1.0,E00000046
35,0.47368421052631576,0.42105263157894735,0.42105263157894735,1.0,E00000048
36,0.92,0.8,0.72,1.0,E00000049
37,0.7,0.9,1.1,1.0,E00000050
38,0.8695652173913043,1.0434782608695652,0.9130434782608695,1.0,E00000051
39,0.9736842105263158,1.0,0.868421052631579,1.0,E00000052
40,0.7878787878787878,0.45454545454545453,0.45454545454545453,1.0,E00000053
41,0.9411764705882353,0.6176470588235294,1.0,1.0,E00000054
42,0.875,0.925,0.95,1.0,E00000055
43,0.6703296703296703,0.6043956043956044,0.8241758241758241,1.0,E00000056
44,0.5882352941176471,0.4117647058823529,0.7058823529411765,1.0,E00000057
45,0.25,0.125,0.1875,1.0,E00000059
46,0.4074074074074074,0.5925925925925926,0.6296296296296297,1.0,E00000060
47,1.0,0.9743589743589743,0.9230769230769231,1.0,E00000061
48,0.7204968944099379,0.6521739130434783,0.782608695652174,1.0,E00000062
49,0.7368421052631579,0.7368421052631579,0.7368421052631579,1.0,E00000063
50,0.8235294117647058,0.8823529411764706,0.9411764705882353,1.0,E00000064
51,0.6976744186046512,0.6046511627906976,0.6744186046511628,1.0,E00000065
52,0.9444444444444444,1.0,0.9444444444444444,1.0,E00000066
53,0.8823529411764706,0.8235294117647058,0.9411764705882353,1.0,E00000067
54,1.4166666666666667,1.3333333333333333,1.4166666666666667,1.0,E00000068
55,0.8214285714285714,0.8214285714285714,0.8928571428571429,1.0,E00000069
56,1.0344827586206897,1.1379310344827587,1.0344827586206897,1.0,E00000070
57,0.8888888888888888,0.5555555555555556,0.6111111111111112,1.0,E00000071
58,0.6428571428571429,0.8928571428571429,0.75,1.0,E00000072
59,1.3333333333333333,0.6,0.6666666666666666,1.0,E00000073
60,1.0,0.8571428571428571,1.0,1.0,E00000074
61,1.3157894736842106,1.5789473684210527,1.4736842105263157,1.0,E00000075
62,0.75,0.75,0.9166666666666666,1.0,E00000076
63,0.6274509803921569,0.7254901960784313,0.7843137254901961,1.0,E00000077
64,0.88,0.72,0.88,1.0,E00000078
65,0.7142857142857143,0.7714285714285715,0.8,1.0,E00000079
66,0.7419354838709677,0.5967741935483871,0.7419354838709677,1.0,E00000080
67,0.9375,0.8125,0.84375,1.0,E00000081
68,0.7741935483870968,0.5806451612903226,0.6129032258064516,1.0,E00000082
69,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,E00000083
70,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,E00000084
71,1.05,1.2,1.05,1.0,E00000085
72,0.8928571428571429,0.9285714285714286,0.7857142857142857,1.0,E00000086
73,0.7222222222222222,0.6666666666666666,1.0555555555555556,1.0,E00000087
74,0.8,0.9,0.85,1.0,E00000088
75,0.96,0.8,0.88,1.0,E00000089
76,0.8518518518518519,0.8888888888888888,0.9259259259259259,1.0,E00000090
77,0.8846153846153846,0.34615384615384615,0.5,1.0,E00000091
78,0.9058823529411765,0.9176470588235294,0.8470588235294118,1.0,E00000092
79,0.8181818181818182,0.7878787878787878,0.7878787878787878,1.0,E00000093
80,0.7777777777777778,0.6222222222222222,0.6888888888888889,1.0,E00000094
81,0.6410256410256411,0.5128205128205128,0.48717948717948717,1.0,E00000095
