,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,lsoa,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Terraced,proportion_Commercial,proportion_Estates,proportion_High-density,proportion_Leafy green residential,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Terraced
1567,0.016260162601626018,0.056910569105691054,0.15447154471544716,0.08943089430894309,0.0975609756097561,0.11382113821138211,0.10569105691056911,0.36585365853658536,E01001593,0.016,0.088,0.048,0.08,0.064,0.088,0.12,0.496,-0.00026016260162601765,0.03108943089430894,-0.10647154471544716,-0.009430894308943089,-0.0335609756097561,-0.025821138211382114,0.014308943089430884,0.13014634146341464
1568,0.036231884057971016,0.2971014492753623,0.2463768115942029,0.050724637681159424,0.15217391304347827,0.036231884057971016,0.17391304347826086,0.007246376811594203,E01001594,0.039603960396039604,0.26732673267326734,0.26732673267326734,0.0594059405940594,0.18811881188118812,0.039603960396039604,0.1188118811881188,0.019801980198019802,0.0033720763380685886,-0.029774716602094964,0.020949921079064432,0.00868130291289998,0.03594489883770985,0.0033720763380685886,-0.05510116229014206,0.012555603386425598
1569,0.007936507936507936,0.1111111111111111,0.05555555555555555,0.1349206349206349,0.31746031746031744,0.13095238095238096,0.24206349206349206,0.0,E01001595,0.011363636363636364,0.08522727272727272,0.0,0.20454545454545456,0.23863636363636365,0.2215909090909091,0.22727272727272727,0.011363636363636364,0.003427128427128428,-0.025883838383838384,-0.05555555555555555,0.06962481962481964,-0.0788239538239538,0.09063852813852813,-0.014790764790764799,0.011363636363636364
1570,0.0,0.013333333333333334,0.0,0.19,0.5766666666666667,0.04666666666666667,0.17,0.0033333333333333335,E01001596,0.0,0.02768166089965398,0.0034602076124567475,0.23875432525951557,0.42214532871972316,0.02422145328719723,0.2768166089965398,0.006920415224913495,0.0,0.014348327566320646,0.0034602076124567475,0.04875432525951556,-0.1545213379469435,-0.022445213379469437,0.1068166089965398,0.0035870818915801615
1571,0.01812688821752266,0.00906344410876133,0.015105740181268883,0.14803625377643503,0.338368580060423,0.18429003021148035,0.283987915407855,0.0030211480362537764,E01001597,0.03571428571428571,0.02976190476190476,0.011904761904761904,0.15476190476190477,0.27380952380952384,0.1875,0.30357142857142855,0.002976190476190476,0.017587397496763052,0.02069846065314343,-0.003200978276506979,0.006725650985469733,-0.06455905625089914,0.0032099697885196454,0.01958351316357354,-4.495756006330041e-05
1572,0.006329113924050633,0.05379746835443038,0.0031645569620253164,0.18037974683544303,0.3259493670886076,0.11392405063291139,0.31645569620253167,0.0,E01001598,0.0,0.04180064308681672,0.00964630225080386,0.2282958199356913,0.29260450160771706,0.10932475884244373,0.31511254019292606,0.003215434083601286,-0.006329113924050633,-0.011996825267613663,0.006481745288778543,0.047916073100248285,-0.03334486548089055,-0.004599291790467655,-0.001343156009605606,0.003215434083601286
1573,0.0056657223796034,0.036827195467422094,0.0,0.14730878186968838,0.35410764872521244,0.19830028328611898,0.254957507082153,0.0028328611898017,E01001599,0.00303951367781155,0.057750759878419454,0.015197568389057751,0.15501519756838905,0.2765957446808511,0.2127659574468085,0.2765957446808511,0.00303951367781155,-0.0026262087017918496,0.02092356441099736,0.015197568389057751,0.007706415698700675,-0.07751190404436137,0.014465674160689529,0.021638237598698096,0.0002066524880098503
1574,0.05365853658536585,0.02926829268292683,0.024390243902439025,0.05365853658536585,0.526829268292683,0.04878048780487805,0.24390243902439024,0.01951219512195122,E01001600,0.09424083769633508,0.07853403141361257,0.02617801047120419,0.13089005235602094,0.3769633507853403,0.05235602094240838,0.2198952879581152,0.020942408376963352,0.04058230111096923,0.04926573873068574,0.001787766568765163,0.0772315157706551,-0.14986591750734263,0.003575533137530326,-0.024007151066275045,0.0014302132550121326
1575,0.00749063670411985,0.003745318352059925,0.0,0.14232209737827714,0.5318352059925093,0.026217228464419477,0.24719101123595505,0.04119850187265917,E01001601,0.012605042016806723,0.008403361344537815,0.008403361344537815,0.15966386554621848,0.39915966386554624,0.037815126050420166,0.3277310924369748,0.046218487394957986,0.005114405312686873,0.004658042992477889,0.008403361344537815,0.017341768167941335,-0.1326755421269631,0.011597897586000688,0.08054008120101974,0.005019985522298813
1576,0.0,0.140625,0.025,0.15,0.2125,0.059375,0.4125,0.0,E01001602,0.0,0.13293051359516617,0.00906344410876133,0.16314199395770393,0.1782477341389728,0.02416918429003021,0.49244712990936557,0.0,0.0,-0.0076944864048338335,-0.01593655589123867,0.013141993957703935,-0.0342522658610272,-0.035205815709969786,0.07994712990936559,0.0
1577,0.015503875968992248,0.24806201550387597,0.04263565891472868,0.13953488372093023,0.20155038759689922,0.03875968992248062,0.313953488372093,0.0,E01001603,0.019157088122605363,0.2260536398467433,0.0421455938697318,0.210727969348659,0.10344827586206896,0.034482758620689655,0.36015325670498083,0.0038314176245210726,0.0036532121536131147,-0.02200837565713268,-0.0004900650449968791,0.07119308562772877,-0.09810211173483026,-0.004276931301790965,0.0461997683328878,0.0038314176245210726
1578,0.09813084112149532,0.04672897196261682,0.014018691588785047,0.1308411214953271,0.3177570093457944,0.06074766355140187,0.12149532710280374,0.2102803738317757,E01001604,0.10326086956521739,0.05434782608695652,0.03260869565217391,0.08695652173913043,0.2608695652173913,0.04891304347826087,0.16847826086956522,0.24456521739130435,0.005130028443722068,0.0076188541243396996,0.018590004063388864,-0.04388459975619666,-0.056887444128403075,-0.011834620073140997,0.04698293376676148,0.034284843559528655
1579,0.0,0.0035335689045936395,0.0035335689045936395,0.07420494699646643,0.43462897526501765,0.3392226148409894,0.13074204946996468,0.014134275618374558,E01001605,0.0,0.0,0.0036363636363636364,0.10909090909090909,0.4,0.3563636363636364,0.12727272727272726,0.0036363636363636364,0.0,-0.0035335689045936395,0.00010279473176999683,0.034885962094442655,-0.034628975265017625,0.01714102152264696,-0.0034693221972374177,-0.010497911982010923
